code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
CA-22,district,CA,2.96,3.74,3.3,-3.4,-1.86,35.3,61.1,-25.8,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,3.74,-15.96,-1.41,-19.9,46.4,50.0,-3.5,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,3.74,29.27,-1.26,25.76,27.5,68.9,-41.4,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,3.74,9.97,-2.53,5.97,33.8,62.6,-28.9,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,3.74,19.69,-1.59,15.73,31.0,65.4,-34.3,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,3.74,14.55,-1.75,10.06,32.9,63.4,-30.5,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,3.74,30.35,-1.65,26.17,26.3,70.1,-43.7,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,3.74,40.39,-2.86,34.71,20.3,76.1,-55.7,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,3.74,46.48,-0.68,41.41,21.0,75.4,-54.4,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,3.74,17.09,-2.8,12.61,30.3,66.1,-35.8,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,3.74,31.35,-0.73,25.76,27.3,69.0,-41.7,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,3.74,15.54,-2.59,10.12,31.2,65.1,-33.9,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,3.74,57.61,-3.25,53.04,12.4,84.0,-71.6,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,3.74,13.25,-2.73,8.0,32.0,64.4,-32.3,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,3.74,45.3,-0.43,40.42,21.9,74.5,-52.7,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,3.74,67.94,-1.93,62.31,9.9,86.5,-76.6,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,3.74,17.65,-3.22,12.8,29.4,67.0,-37.5,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,3.74,15.16,-2.67,9.85,31.3,65.1,-33.8,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,3.74,-9.03,-1.07,-12.6,44.0,52.4,-8.4,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,3.74,18.74,-2.84,14.61,29.5,66.8,-37.3,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,3.74,17.94,-1.05,13.57,32.6,63.8,-31.3,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
CA-43,district,CA,54.96,3.74,56.49,-2.2,50.59,14.3,82.1,-67.7,-4.9,7.6,26.3,51.9,10.1,3.4,0.7
CA-44,district,CA,41.6,3.74,42.03,-3.3,36.32,18.9,77.5,-58.6,-7.1,8.9,10.6,64.7,10.8,3.9,1.1
CA-45,district,CA,6.76,3.74,8.39,-2.11,4.07,35.0,61.4,-26.4,-4.6,21.5,3.1,30.9,41.4,2.3,0.8
CA-46,district,CA,20.26,3.74,20.91,-3.1,16.7,28.2,68.1,-39.9,-6.6,19.3,2.6,57.4,16.0,4.1,0.6
CA-47,district,CA,11.79,3.74,14.71,-0.82,10.47,34.3,62.1,-27.9,-1.8,48.9,2.7,16.6,29.7,1.6,0.5
CA-48,district,CA,4.15,3.74,6.49,-1.4,3.52,36.9,59.5,-22.5,-2.9,46.1,5.1,35.0,9.1,3.9,0.9
CA-49,district,CA,13.11,3.74,16.29,-0.56,12.48,34.0,62.4,-28.4,-1.1,59.5,3.2,19.4,14.7,2.3,0.9
CA-50,district,CA,19.36,3.74,22.59,-0.51,18.83,31.4,65.0,-33.6,-1.0,56.9,4.0,16.6,19.5,2.2,0.8
CA-51,district,CA,19.95,3.74,23.0,-0.69,18.79,30.9,65.4,-34.5,-1.5,52.8,8.1,23.9,11.3,2.9,1.0
CA-52,district,CA,22.64,3.74,23.54,-2.84,18.06,27.5,68.9,-41.4,-6.1,16.8,8.3,55.0,15.7,3.3,1.0
CO-01,district,CO,58.82,3.74,62.07,-0.49,57.61,14.7,81.7,-67.1,-1.0,57.7,9.5,24.0,5.1,3.3,0.4
CO-02,district,CO,40.74,3.74,44.67,0.19,40.92,23.1,73.3,-50.2,0.6,78.8,1.6,12.3,4.8,2.3,0.3
CO-03,district,CO,-9.78,3.74,-6.46,-0.42,-9.98,43.9,52.5,-8.5,-0.8,69.5,1.5,22.6,1.4,4.8,0.3
CO-04,district,CO,-19.22,3.74,-15.25,0.23,-18.71,48.6,47.7,0.9,0.6,78.3,2.5,11.8,4.5,2.7,0.3
CO-05,district,CO,-10.24,3.74,-6.45,0.05,-9.34,44.6,51.8,-7.2,0.2,68.2,7.6,15.2,4.9,3.4,0.8
CO-06,district,CO,20.85,3.74,24.38,-0.2,20.36,31.1,65.3,-34.2,-0.4,58.9,11.2,19.1,7.2,3.0,0.5
CO-07,district,CO,14.76,3.74,18.64,0.14,15.41,34.1,62.3,-28.2,0.4,77.2,2.0,13.3,4.1,3.2,0.2
CO-08,district,CO,-0.6,3.74,1.92,-1.21,-1.88,39.2,57.2,-18.0,-2.5,55.1,2.5,33.9,4.3,3.9,0.3
CT-01,district,CT,24.46,3.74,28.39,0.19,23.27,29.9,66.4,-36.5,0.4,60.2,16.7,15.3,6.2,1.5,0.1
CT-02,district,CT,8.44,3.74,12.73,0.55,7.86,37.2,59.2,-22.0,1.3,80.5,5.1,7.7,4.4,2.1,0.2
CT-03,district,CT,15.51,3.74,19.51,0.26,14.34,33.8,62.5,-28.7,0.6,64.1,14.8,14.2,5.3,1.5,0.1
CT-04,district,CT,25.33,3.74,28.92,-0.15,23.73,29.2,67.1,-37.9,-0.3,59.4,13.4,19.8,6.1,1.2,0.1
CT-05,district,CT,6.68,3.74,10.37,-0.05,5.68,37.3,59.1,-21.8,-0.0,67.4,8.8,18.0,4.2,1.5,0.1
DE-01,district,DE,15.61,3.74,20.09,0.75,14.84,34.3,62.1,-27.8,1.5,61.9,22.6,8.6,4.8,2.0,0.1
FL-01,district,FL,-36.7,3.74,-32.24,0.73,-37.53,56.5,39.8,16.7,1.6,72.0,13.5,6.7,4.2,3.2,0.4
FL-02,district,FL,-16.49,3.74,-11.8,0.95,-18.33,48.1,48.2,-0.1,1.9,65.3,23.0,6.4,2.8,2.3,0.2
FL-03,district,FL,-19.45,3.74,-15.17,0.54,-21.26,49.0,47.4,1.6,1.2,67.6,15.8,10.6,3.9,1.9,0.2
FL-04,district,FL,-10.78,3.74,-6.08,0.97,-11.96,45.7,50.7,-5.0,1.9,54.9,31.4,7.8,3.6,2.1,0.3
FL-05,district,FL,-20.63,3.74,-16.5,0.39,-21.69,49.3,47.0,2.3,0.8,67.3,12.8,10.8,7.0,1.8,0.3
FL-06,district,FL,-28.57,3.74,-24.25,0.58,-30.31,52.9,43.4,9.5,1.3,74.7,11.2,9.8,2.1,2.1,0.2
FL-07,district,FL,-10.92,3.74,-7.27,-0.1,-12.62,44.7,51.7,-7.0,-0.2,64.0,10.4,18.8,4.7,1.9,0.2
FL-08,district,FL,-15.06,3.74,-11.11,0.21,-16.4,46.8,49.6,-2.8,0.5,68.2,10.8,14.2,4.5,2.1,0.2
FL-09,district,FL,-14.81,3.74,-12.23,-1.16,-17.93,45.2,51.2,-5.9,-2.4,48.3,10.5,35.7,3.5,1.8,0.2
FL-10,district,FL,26.8,3.74,29.95,-0.58,24.29,28.1,68.3,-40.3,-1.4,35.3,27.4,30.0,5.2,1.8,0.3
FL-11,district,FL,-14.37,3.74,-10.81,-0.18,-15.84,46.1,50.3,-4.2,-0.3,62.1,10.8,19.9,5.3,1.7,0.2
FL-12,district,FL,-12.99,3.74,-9.72,-0.46,-15.55,45.2,51.2,-6.0,-0.9,58.2,10.6,24.5,4.6,1.9,0.2
FL-13,district,FL,-12.0,3.74,-7.85,0.41,-13.46,45.7,50.6,-4.9,1.0,76.9,6.4,10.3,4.4,1.9,0.2
FL-14,district,FL,-8.79,3.74,-5.55,-0.5,-10.62,43.4,53.0,-9.7,-1.1,54.3,13.2,25.6,4.6,2.0,0.2
FL-15,district,FL,-17.66,3.74,-13.69,0.23,-20.09,47.9,48.5,-0.6,0.5,63.4,14.9,14.8,4.7,1.9,0.2
FL-16,district,FL,-11.67,3.74,-7.56,0.37,-13.81,45.5,50.8,-5.3,0.9,70.7,12.0,12.9,2.7,1.6,0.1
FL-17,district,FL,-20.19,3.74,-16.01,0.44,-22.24,49.3,47.1,2.1,1.1,78.3,7.0,11.0,2.1,1.5,0.1
FL-18,district,FL,-15.19,3.74,-11.79,-0.34,-17.1,46.2,50.1,-3.9,-0.7,55.5,15.1,24.6,2.5,2.1,0.2
FL-19,district,FL,-28.43,3.74,-24.79,-0.1,-30.42,52.2,44.2,8.0,-0.1,72.6,5.1,18.9,2.1,1.2,0.1
FL-20,district,FL,40.58,3.74,44.46,0.13,37.5,22.9,73.5,-50.6,-0.0,30.0,41.9,23.2,3.7,1.1,0.2
FL-21,district,FL,-14.46,3.74,-10.47,0.25,-16.36,46.6,49.8,-3.2,0.6,67.4,13.1,15.0,2.8,1.5,0.2
FL-22,district,FL,-7.03,3.74,-4.13,-0.84,-10.6,42.2,54.1,-11.9,-1.8,49.0,13.6,31.0,4.9,1.3,0.2
FL-23,district,FL,17.41,3.74,20.86,-0.29,13.94,32.4,64.0,-31.6,-0.7,46.9,22.8,25.5,2.9,1.6,0.2
FL-24,district,FL,44.37,3.74,47.3,-0.82,39.08,20.2,76.1,-55.9,-2.1,11.2,46.0,39.5,2.1,1.1,0.1
FL-25,district,FL,-5.24,3.74,-2.19,-0.69,-9.22,41.7,54.7,-13.0,-1.4,59.9,7.5,28.2,3.3,1.0,0.1
FL-26,district,FL,-12.73,3.74,-12.54,-3.55,-18.5,41.8,54.6,-12.8,-7.6,12.3,10.4,72.7,3.8,0.7,0.1
FL-27,district,FL,-9.78,3.74,-9.64,-3.59,-14.7,40.5,55.9,-15.4,-7.6,16.5,6.9,73.0,2.6,0.8,0.1
FL-28,district,FL,-19.43,3.74,-19.13,-3.44,-25.63,44.7,51.6,-6.9,-7.3,15.0,10.1,71.6,2.2,1.1,0.1
GA-01,district,GA,-15.28,3.74,-10.54,1.0,-15.92,47.6,48.7,-1.1,2.0,60.0,28.0,6.7,3.0,2.0,0.3
GA-02,district,GA,8.57,3.74,13.77,1.46,7.66,37.9,58.5,-20.6,2.7,42.4,48.9,5.1,1.9,1.5,0.2
GA-03,district,GA,-30.08,3.74,-25.3,1.03,-29.88,54.0,42.4,11.6,2.1,66.7,23.3,5.3,2.5,2.1,0.1
GA-04,district,GA,54.47,3.74,58.67,0.46,53.04,17.3,79.1,-61.9,0.5,21.3,49.6,16.7,10.4,1.9,0.1
GA-05,district,GA,73.04,3.74,77.91,1.13,72.33,10.1,86.3,-76.2,2.0,33.2,50.4,8.5,6.2,1.5,0.1
GA-06,district,GA,50.2,3.74,55.01,1.07,50.34,19.7,76.6,-56.9,1.9,32.4,51.1,10.5,4.3,1.6,0.1
GA-07,district,GA,-22.22,3.74,-18.22,0.26,-22.27,49.9,46.5,3.4,0.6,66.8,8.9,9.1,13.2,1.8,0.1
GA-08,district,GA,-30.02,3.74,-25.17,1.11,-30.76,54.0,42.4,11.6,2.2,60.2,29.9,6.1,2.0,1.6,0.1
GA-09,district,GA,-34.31,3.74,-30.39,0.19,-34.33,54.9,41.4,13.5,0.4,64.1,12.6,13.6,7.3,2.3,0.1
GA-10,district,GA,-21.15,3.74,-16.45,0.96,-20.93,50.1,46.3,3.9,2.0,65.1,23.6,6.4,2.8,1.9,0.1
GA-11,district,GA,-23.67,3.74,-19.45,0.47,-23.52,50.7,45.7,5.1,1.0,69.5,12.8,10.4,4.8,2.4,0.1
GA-12,district,GA,-13.21,3.74,-8.2,1.27,-14.2,47.0,49.4,-2.4,2.5,54.3,36.5,4.8,2.5,1.7,0.2
GA-13,district,GA,41.87,3.74,46.44,0.83,42.65,23.0,73.4,-50.3,1.3,27.4,50.6,12.4,7.6,1.8,0.2
GA-14,district,GA,-37.49,3.74,-33.17,0.58,-37.03,56.7,39.7,17.1,1.3,72.8,12.5,10.0,1.9,2.7,0.1
HI-01,district,HI,26.98,3.74,29.46,-1.25,25.17,27.2,69.2,-42.0,-3.0,14.1,2.7,5.8,59.9,1.6,15.8
HI-02,district,HI,24.56,3.74,27.45,-0.85,22.06,28.7,67.7,-39.0,-2.0,26.9,2.0,8.1,36.7,2.5,23.7
IA-01,district,IA,-7.01,3.74,-2.47,0.8,-8.59,44.1,52.3,-8.3,1.9,86.1,4.7,4.7,2.7,1.6,0.1
IA-02,district,IA,-8.56,3.74,-3.88,0.93,-10.13,44.9,51.5,-6.7,2.2,88.6,4.8,3.0,1.8,1.5,0.3
