race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,41.81,50.19,8.0,0.0,
AK-GOV,2,45.17,53.23,0.0,1.6,Other
AK-SEN,1,44.98,47.02,8.0,0.0,
AK-SEN,2,48.34,50.06,0.0,1.6,Other
ME-SEN,1,47.47,47.53,5.0,0.0,
ME-SEN,2,49.57,49.43,0.0,1.0,Other
AK-01,1,40.89,47.89,11.22,0.0,
AK-01,2,45.94,51.82,0.0,2.24,Other
ME-01,1,62.08,32.92,5.0,0.0,
ME-01,2,64.18,34.82,0.0,1.0,Other
ME-02,1,45.0,50.0,5.0,0.0,
ME-02,2,47.1,51.9,0.0,1.0,Other
