cand_id,name,first,last,party,state,incumbent,fec_id,strength
C-0030,Susan Collins,Susan,Collins,REP,ME,1,S6ME00159,-17.83
C-0031,Abdul El-Sayed,Abdul,El-Sayed,DEM,MI,0,S6MI00418,0.0
C-0032,Mike Rogers,Mike,Rogers,REP,MI,0,S4MI00595,0.66
C-0033,Peggy Flanagan,Peggy,Flanagan,DEM,MN,0,S6MN00440,0.0
C-0034,Adam Schwarze,Adam,Schwarze,REP,MN,0,,0.0
C-0035,Scott Colom,Scott,Colom,DEM,MS,0,S6MS00133,0.0
C-0036,Cindy Hyde-Smith,Cindy,Hyde-Smith,REP,MS,1,S8MS00261,6.43
C-0037,Alani Bankhead,Alani,Bankhead,DEM,MT,0,S6MT00253,0.0
C-0038,Kurt Alme,Kurt,Alme,REP,MT,0,S6MT00295,0.0
C-0039,Seth Bodnar,Seth,Bodnar,IND,MT,0,S6MT00287,0.0
C-0040,Roy Cooper,Roy,Cooper,DEM,NC,0,S6NC00407,2.85
C-0041,Michael Whatley,Michael,Whatley,REP,NC,0,S6NC00415,0.0
C-0042,(no Democrat — backs Osborn),(no,Democrat — backs Osborn),DEM,NE,0,,0.0
C-0043,Pete Ricketts,Pete,Ricketts,REP,NE,1,S6NE00129,0.07
C-0044,Dan Osborn,Dan,Osborn,IND,NE,0,S4NE00207,15.38
C-0045,Chris Pappas,Chris,Pappas,DEM,NH,0,S6NH00141,6.3
C-0046,Scott Brown,Scott,Brown,REP,NH,0,,0.0
C-0047,Cory Booker,Cory,Booker,DEM,NJ,1,S4NJ00185,0.32
C-0048,Justin Murphy,Justin,Murphy,REP,NJ,0,S4NJ00532,0.0
C-0049,Ben Ray Lujan,Ben,Ray Lujan,DEM,NM,1,S0NM00058,0.0
C-0050,Larry Marker,Larry,Marker,REP,NM,0,S6NM01186,0.0
C-0051,Sherrod Brown,Sherrod,Brown,DEM,OH,0,S6OH00163,4.59
C-0052,Jon Husted,Jon,Husted,REP,OH,1,S6OH00304,0.0
C-0053,Jim Priest,Jim,Priest,DEM,OK,0,,0.0
C-0054,Kevin Hern,Kevin,Hern,REP,OK,0,S6OK04247,-4.17
C-0055,Jeff Merkley,Jeff,Merkley,DEM,OR,1,S8OR00207,0.0
C-0056,David Brock Smith,David,Brock Smith,REP,OR,0,S6OR05218,0.0
C-0057,Jack Reed,Jack,Reed,DEM,RI,1,S6RI00163,0.0
C-0058,Raymond McKay,Raymond,McKay,REP,RI,0,S4RI00051,0.0
C-0059,Annie Andrews,Annie,Andrews,DEM,SC,0,S6SC04239,4.88
C-0060,Darline Graham,Darline,Graham,REP,SC,1,S6SC04437,0.0
C-0061,(No Democrat),,,DEM,SD,0,,0.0
C-0062,Mike Rounds,Mike,Rounds,REP,SD,1,S4SD00049,-4.09
C-0063,Marquita Bradshaw,Marquita,Bradshaw,DEM,TN,0,S4TN00542,0.0
C-0064,Bill Hagerty,Bill,Hagerty,REP,TN,1,S0TN00169,-6.88
C-0065,James Talarico,James,Talarico,DEM,TX,0,S6TX00479,0.0
C-0066,Ken Paxton,Ken,Paxton,REP,TX,0,S6TX00388,3.07
C-0067,Mark Warner,Mark,Warner,DEM,VA,1,S6VA00093,2.22
C-0068,Bert Mizusawa,Bert,Mizusawa,REP,VA,0,S8VA00321,0.0
C-0069,Rachel Fetty Anderson,Rachel,Anderson,DEM,WV,0,S6WV00188,0.0
C-0070,Shelley Moore Capito,Shelley,Moore Capito,REP,WV,1,S4WV00159,0.0
C-0071,James Byrd,James,Byrd,DEM,WY,0,S6WY00217,0.0
C-0072,Harriet Hageman,Harriet,Hageman,REP,WY,0,S6WY00209,0.0
C-0073,Jonathan Kreiss-Tomkins,Jonathan,Kreiss-Tomkins,DEM,AK,0,,0.0
C-0074,Bernadette Wilson,Bernadette,Wilson,REP,AK,0,,0.0
C-0075,Doug Jones,Doug,Jones,DEM,AL,0,,2.53
C-0076,Tommy Tuberville,Tommy,Tuberville,REP,AL,0,,2.53
C-0077,Fredrick Love,Fredrick,Love,DEM,AR,0,,0.0
C-0078,Sarah Huckabee Sanders,Sarah,Huckabee Sanders,REP,AR,1,,2.31
C-0079,Katie Hobbs,Katie,Hobbs,DEM,AZ,1,,3.35
C-0080,Andy Biggs,Andy,Biggs,REP,AZ,0,,3.16
C-0081,Xavier Becerra,Xavier,Becerra,DEM,CA,0,,0.0
C-0082,Steve Hilton,Steve,Hilton,REP,CA,0,,0.0
C-0083,Phil Weiser,Phil,Weiser,DEM,CO,0,,0.0
C-0084,Victor Marx,Victor,Marx,REP,CO,0,,0.0
C-0085,Ned Lamont,Ned,Lamont,DEM,CT,1,,-4.04
C-0086,Ryan Fazio,Ryan,Fazio,REP,CT,0,,0.0
C-0087,David Jolly,David,Jolly,DEM,FL,0,,0.0
C-0088,Byron Donalds,Byron,Donalds,REP,FL,0,,-0.7
C-0089,Keisha Lance Bottoms,Keisha,Lance Bottoms,DEM,GA,0,,0.0
C-0090,Rick Jackson,Rick,Jackson,REP,GA,0,,0.0
C-0091,Josh Green,Josh,Green,DEM,HI,1,,0.0
C-0092,Gary Cordery,Gary,Cordery,REP,HI,0,,0.0
C-0093,Rob Sand,Rob,Sand,DEM,IA,0,,16.29
C-0094,Zach Lahn,Zach,Lahn,REP,IA,0,,0.0
C-0095,Terri Pickens,Terri,Pickens,DEM,ID,0,,0.0
C-0096,Brad Little,Brad,Little,REP,ID,1,,-16.05
C-0097,JB Pritzker,JB,Pritzker,DEM,IL,1,,0.0
C-0098,Darren Bailey,Darren,Bailey,REP,IL,0,,-2.53
C-0099,Ethan Corson,Ethan,Corson,DEM,KS,0,,0.0
C-0100,Ty Masterson,Ty,Masterson,REP,KS,0,,0.0
C-0101,Maura Healey,Maura,Healey,DEM,MA,1,,-0.81
C-0102,Mike Minogue,Mike,Minogue,REP,MA,0,,0.0
C-0103,Wes Moore,Wes,Moore,DEM,MD,1,,3.31
C-0104,Dan Cox,Dan,Cox,REP,MD,0,,-0.67
C-0105,Hannah Pingree,Hannah,Pingree,DEM,ME,0,,0.0
C-0106,Robert Charles,Robert,Charles,REP,ME,0,,0.0
C-0107,Jocelyn Benson,Jocelyn,Benson,DEM,MI,0,,18.91
C-0108,John James,John,James,REP,MI,0,,-3.95
C-0109,Amy Klobuchar,Amy,Klobuchar,DEM,MN,0,,-0.18
C-0110,Kendall Qualls,Kendall,Qualls,REP,MN,0,,0.0
C-0111,Lynne Walz,Lynne,Walz,DEM,NE,0,,0.0
C-0112,Jim Pillen,Jim,Pillen,REP,NE,1,,-2.37
C-0113,Cinde Warmington,Cinde,Warmington,DEM,NH,0,,-14.83
C-0114,Kelly Ayotte,Kelly,Ayotte,REP,NH,1,,-12.36
C-0115,Deb Haaland,Deb,Haaland,DEM,NM,0,,-9.58
C-0116,Gregg Hull,Gregg,Hull,REP,NM,0,,0.0
C-0117,Aaron Ford,Aaron,Ford,DEM,NV,0,,4.75
C-0118,Joe Lombardo,Joe,Lombardo,REP,NV,1,,-0.98
C-0119,Kathy Hochul,Kathy,Hochul,DEM,NY,1,,-13.75
C-0120,Bruce Blakeman,Bruce,Blakeman,REP,NY,0,,0.0
C-0121,Amy Acton,Amy,Acton,DEM,OH,0,,0.0
C-0122,Vivek Ramaswamy,Vivek,Ramaswamy,REP,OH,0,,0.0
C-0123,Cyndi Munson,Cyndi,Munson,DEM,OK,0,,0.0
C-0124,Mike Mazzei,Mike,Mazzei,REP,OK,0,,0.0
C-0125,Tina Kotek,Tina,Kotek,DEM,OR,1,,-9.33
C-0126,Christine Drazan,Christine,Drazan,REP,OR,0,,-13.1
