# 2026 Maryland House of Delegates per-seat roster (GENERAL nominees).
# Source: MD State Board of Elections June 23 primary RESULTS (winners = top-N
# per party per unit, results final as of Jul 10) x the BOE candidate list;
# seats-per-unit from MultiState (71 units, 141 seats: 3-member at-large
# districts split A/B/C, 2-member subdistricts A/B, single-member as-is).
# Incumbency curated from 2022 winners in leg_results (MD serves 4-year terms;
# 2022 results lump lettered subdistricts under the base district number).
# Pairing: incumbents keep their own seat; an outnumbered party's candidates
# face the other party's non-incumbents. Built 2026-07-15.
chamber,district,seat,dem_name,rep_name,other_name,incumbent,incumbent_party
House of Delegates,18,B,Jared Solomon,,,Jared Solomon,D
House of Delegates,18,C,Aaron M. Kaufman,,,Aaron M. Kaufman,D
House of Delegates,19,A,Charlotte Crutchfield,,,Charlotte Crutchfield,D
House of Delegates,19,B,Vaughn Stewart,,,Vaughn Stewart,D
House of Delegates,19,C,Christa Tichy,,,,
House of Delegates,20,A,David Moon,,,David Moon,D
House of Delegates,20,B,Lorig Charkoudian,,,Lorig Charkoudian,D
House of Delegates,20,C,Jheanelle K. Wilkins,,,Jheanelle K. Wilkins,D
House of Delegates,21,A,Mary A. Lehman,,,Mary A. Lehman,D
House of Delegates,21,B,Ben Barnes,,,Ben Barnes,D
House of Delegates,21,C,Joseline A. Peña-Melnyk,,,,
House of Delegates,22,A,Ashanti Martinez,,,,
House of Delegates,22,B,Tracy Gant,,,,
House of Delegates,22,C,Molly McKee-Seabrook,,,,
House of Delegates,23,A,Keenon James,Michael Riker,,,
House of Delegates,23,B,Kym Taylor,Kimberly Simmons Robinson,,Kym Taylor,D
House of Delegates,23,C,"Marvin E. Holmes, Jr.",,,"Marvin E. Holmes, Jr.",D
House of Delegates,24,A,Andrea Fletcher Harrison,,,,
House of Delegates,24,B,LaTasha R. Ward,,,,
House of Delegates,24,C,Derrick L. Coley,,,,
House of Delegates,25,A,Karen Toles,,,Karen Toles,D
House of Delegates,25,B,Denise Roberts,,,,
House of Delegates,25,C,Kent Roberson,,,,
House of Delegates,26,A,Kriselda Valderrama,JoAnn Y. Fisher,,,
House of Delegates,26,B,Jamila J. Woods,Ike Puzon,,Jamila J. Woods,D
House of Delegates,26,C,Veronica Turner,,,Veronica Turner,D
House of Delegates,27A,,"Darrell C. Odom, Sr.",Jim Crawford,,,
House of Delegates,27B,,"Jeffrie E. Long, Jr.",Dan L. Thomas,,"Jeffrie E. Long, Jr.",D
House of Delegates,27C,,Jennifer M. Davidson,Mark N. Fisher,,Mark N. Fisher,R
House of Delegates,28,A,Abena Affum-McAllister,James Emerson Ashburn,,,
House of Delegates,28,B,Debra Davis,"Winfield W. Clark, Jr.",,Debra Davis,D
House of Delegates,28,C,Edith J. Patterson,,,Edith J. Patterson,D
House of Delegates,29A,,Jennifer Lynn Clancy,Matt Morgan,,Matt Morgan,R
House of Delegates,29B,,Adrianne M. Mathis,BJ Hall,,,
House of Delegates,29C,,Shaara Watts,Todd B. Morgan,,Todd B. Morgan,R
House of Delegates,30A,A,Dana Jones,,,Dana Jones,D
House of Delegates,30A,B,Dylan Behler,,,,
House of Delegates,30B,,Matt Johnston,Seth Howard,,Seth Howard,R
