state,county_fips,cd_code,votes_dem,votes_rep,votes_total,pres16_dem,pres16_rep,pres20_dem,pres20_rep,pop_tot,vap_tot,vap_white,vap_black,vap_hisp,vap_asian,vap_native,vap_pacific
AL,01021,AL-06,2698,16920,19763,2911,15081,3073,16085,45014,34385,27517,3056,2735,129,94,5
AL,01023,AL-07,2515,4103,6656,3109,4106,3127,4296,12665,10168,5690,4199,75,15,15,0
AL,01025,AL-07,4927,6965,11958,5749,7140,5755,7324,23087,18249,9799,7874,124,69,53,1
AL,01027,AL-03,993,5734,6767,1237,5245,1267,5601,14236,11299,9143,1521,287,33,35,1
AL,01029,AL-03,605,6988,7651,684,5764,675,6484,15056,11620,10689,363,187,21,30,0
AL,01031,AL-02,4601,17495,22319,4221,15875,5076,16899,53465,40774,28431,6581,2996,725,312,44
AL,01033,AL-04,7137,19714,27160,7312,16746,8343,19203,57227,45078,34902,7125,1061,325,202,9
AL,01035,AL-07,2580,3423,6051,3080,3420,2966,3442,11597,9277,4872,3953,155,33,56,0
AL,01037,AL-06,1478,3758,5268,1782,3381,1796,3631,10387,8603,5753,2461,112,8,22,0
AL,01039,AL-01,2159,13401,15655,2221,12155,2529,13329,34376,26884,22112,3350,391,178,115,0
AL,01039,AL-02,155,1276,1440,166,1112,192,1257,3194,2503,2308,108,23,7,7,0
AL,01041,AL-02,1457,5000,6486,1664,4513,1700,4864,13194,10360,7477,2391,119,63,43,2
AL,01043,AL-04,4039,38704,43146,3798,32989,4478,36880,87866,68240,61747,721,2533,380,247,35
AL,01045,AL-02,4484,14476,19139,4413,13808,5170,14303,49326,38048,26220,7429,2101,561,186,37
AL,01047,AL-07,10236,5190,15547,12836,5789,12230,5524,38462,29613,8645,20036,217,122,44,10
AL,01049,AL-04,3758,25633,29660,3682,21779,4281,24767,71608,53920,43414,814,6600,187,527,9
AL,01051,AL-02,4641,13169,18042,4319,12078,4972,12556,41928,33447,23076,8167,845,267,99,10
AL,01051,AL-06,5133,18205,23582,4124,15556,5395,17608,46049,35558,27197,5805,941,261,113,3
AL,01053,AL-01,3964,10884,14957,4605,9935,4918,10869,36757,28575,17665,8450,444,87,1052,16
AL,01055,AL-03,10027,35653,46137,10442,32353,11567,35528,103436,81121,62803,11399,2916,716,287,23
AL,01057,AL-04,1142,7152,8363,1362,6712,1395,7300,16321,12791,10805,1326,245,33,42,0
AL,01059,AL-04,1568,10417,12097,2197,9466,2086,10376,32113,23931,18607,905,3729,46,93,2
AL,01061,AL-02,1391,10929,12401,1525,9994,1595,10848,26659,20820,17295,1771,793,80,132,7
AL,01063,AL-07,3133,885,4039,4013,838,3884,875,7730,6070,1099,4792,50,7,5,0
AL,01065,AL-07,3868,3369,7305,4775,3173,4663,3192,14785,11483,4793,6349,93,17,24,4
AL,01067,AL-02,2263,6989,9320,2292,5632,2606,6607,17146,13641,9523,3421,215,52,39,0
AL,01069,AL-02,11352,32469,44349,10664,30728,12917,32618,107202,82646,55285,20371,2855,965,268,47
AL,01071,AL-05,3276,20073,23556,3673,16672,3717,19670,52579,41768,36475,1304,1040,178,539,2
AL,01073,AL-06,60472,84069,147676,48763,84775,63789,88354,310482,239789,159957,57537,9755,4974,445,73
AL,01073,AL-07,101640,47054,151028,108110,49993,117899,50489,364239,287298,105793,155446,12858,5435,530,137
AL,01075,AL-04,806,6033,6890,1036,5823,978,6174,13972,11019,9509,1142,133,1,23,3
AL,01077,AL-04,9001,24708,34206,8626,21618,10518,24375,76606,61494,50232,6654,1811,564,192,22
AL,01077,AL-05,1325,8000,9431,1326,6281,1397,7346,16958,13414,12332,366,179,53,62,3
AL,01079,AL-05,2983,13024,16122,3627,10833,3562,12322,33073,25878,19700,2724,580,63,1050,1
AL,01081,AL-03,25798,46020,73127,21230,34617,27860,42221,174241,136444,88441,30112,6130,6827,280,89
AL,01083,AL-05,14663,38123,53656,9468,29067,13672,34640,103570,79718,60128,10433,4294,1333,373,49
AL,01085,AL-02,3867,1758,5655,4883,1751,4972,1836,10311,8283,2426,5577,98,15,9,0
AL,01087,AL-02,6084,1682,7834,7566,1431,7108,1541,19532,16226,2699,12808,271,68,40,4
AL,01089,AL-05,87824,105430,197617,62822,89520,87286,102780,388153,304143,193636,70077,16137,8303,1603,316
AL,01091,AL-07,4631,4995,9682,5615,5233,5488,5343,19323,15053,6816,7694,262,42,3,0
AL,01093,AL-04,1197,12245,13543,1432,11274,1463,12205,29341,23264,21022,876,519,57,65,14
