code,state,chamber,district,vap_total,vap_white_pct,vap_black_pct,vap_hisp_pct,vap_asian_pct,vap_native_pct,vap_pac_pct,vap_minor_pct
VT-H-C23,VT,lower,C23,4736.0,87.19,2.51,2.22,5.43,1.95,0.14,12.81
VT-H-C24,VT,lower,C24,5477.0,89.12,1.94,2.0,4.44,1.79,0.16,10.88
VT-H-C25,VT,lower,C25,3780.0,92.32,1.02,1.53,1.36,2.68,0.07,7.68
VT-H-C-1,VT,lower,C-1,3274.0,93.3,0.95,1.74,1.23,1.32,0.06,6.7
VT-H-C-2,VT,lower,C-2,6281.0,89.91,1.63,2.15,3.92,1.26,0.05,10.09
VT-H-C-3,VT,lower,C-3,6459.0,92.56,1.11,1.76,1.13,1.85,0.0,7.44
VT-H-C-4,VT,lower,C-4,3441.0,91.8,1.02,2.31,0.94,2.31,0.11,8.2
VT-H-C-5,VT,lower,C-5,3266.0,92.25,0.74,1.88,1.37,1.46,0.13,7.75
VT-H-C-6,VT,lower,C-6,4476.0,91.74,1.3,1.82,2.42,1.51,0.16,8.26
VT-H-C-7,VT,lower,C-7,2293.0,91.06,1.3,1.94,2.2,2.1,0.16,8.94
VT-H-CA1,VT,lower,CA1,3276.0,93.96,1.1,1.17,0.65,1.99,0.09,6.04
VT-H-F-5,VT,lower,F-5,6788.0,92.47,0.52,1.18,0.41,4.96,0.09,7.53
VT-H-F-6,VT,lower,F-6,3655.0,92.61,0.44,1.78,0.44,3.43,0.06,7.39
VT-H-F-7,VT,lower,F-7,3100.0,92.17,0.45,1.93,0.64,3.87,0.1,7.83
VT-H-F-8,VT,lower,F-8,2004.0,89.27,2.25,1.89,1.51,4.12,0.14,10.73
VT-H-GIC,VT,lower,GIC,10153.0,92.55,1.04,1.35,0.98,3.13,0.23,7.45
VT-H-L-1,VT,lower,L-1,3895.0,91.41,1.78,2.9,1.36,1.15,0.19,8.59
VT-H-L-2,VT,lower,L-2,6871.0,92.09,1.57,1.46,0.84,3.28,0.22,7.91
VT-H-L-3,VT,lower,L-3,3548.0,93.71,1.29,1.75,0.34,2.5,0.25,6.29
VT-H-L-W,VT,lower,L-W,6905.0,90.66,1.52,2.75,0.9,2.7,0.09,9.34
VT-H-R-3,VT,lower,R-3,3927.0,92.55,2.56,1.6,1.3,1.3,0.05,7.45
VT-H-B-3,VT,lower,B-3,3645.0,93.18,0.85,2.12,0.83,1.76,0.03,6.82
VT-H-B-4,VT,lower,B-4,6093.0,91.66,1.38,2.4,1.57,1.85,0.07,8.34
VT-H-B-5,VT,lower,B-5,6562.0,91.46,2.4,1.91,1.34,2.04,0.15,8.54
VT-H-B-R,VT,lower,B-R,3561.0,92.9,0.59,1.91,1.54,1.64,0.06,7.1
VT-H-R-4,VT,lower,R-4,3212.0,92.32,1.41,1.61,1.64,1.9,0.05,7.68
VT-H-R-5,VT,lower,R-5,4128.0,88.83,1.49,4.56,1.44,2.33,0.05,11.17
VT-H-R-6,VT,lower,R-6,3529.0,87.29,2.34,2.53,1.57,4.27,0.08,12.71
VT-H-R-7,VT,lower,R-7,3640.0,91.08,1.35,2.03,1.02,3.21,0.12,8.92
VT-H-R-8,VT,lower,R-8,3751.0,90.67,0.72,1.2,0.54,2.77,0.24,9.33
VT-H-R-9,VT,lower,R-9,3250.0,93.23,0.83,1.16,1.01,2.48,0.0,6.77
VT-H-R-B,VT,lower,R-B,3414.0,93.29,0.5,1.54,0.79,1.89,0.08,6.71
VT-H-R-W,VT,lower,R-W,3960.0,93.32,0.71,1.41,0.86,1.92,0.2,6.68
VT-H-R10,VT,lower,R10,3136.0,92.78,0.86,1.12,0.54,3.13,0.03,7.22
VT-H-R11,VT,lower,R11,3597.0,93.35,0.73,1.93,1.34,1.62,0.08,6.65
VT-H-WA2,VT,lower,WA2,6817.0,93.63,0.76,1.76,0.87,1.65,0.03,6.37
VT-H-WA3,VT,lower,WA3,6870.0,88.63,2.43,2.93,1.42,3.34,0.07,11.37
VT-H-WA4,VT,lower,WA4,6537.0,89.0,1.62,2.41,3.18,1.93,0.24,11.0
VT-H-WA5,VT,lower,WA5,3504.0,93.29,0.8,1.57,0.89,2.03,0.0,6.71
VT-H-WA6,VT,lower,WA6,3626.0,92.23,1.07,2.1,0.91,2.62,0.06,7.77
VT-H-WAC,VT,lower,WAC,6935.0,92.28,0.98,1.82,1.51,1.97,0.16,7.72
VT-H-WAO,VT,lower,WAO,6658.0,92.75,0.53,2.5,0.95,2.21,0.06,7.25
VT-H-WWB,VT,lower,WWB,3488.0,93.9,1.12,1.58,1.0,1.43,0.14,6.1
VT-H-Y-1,VT,lower,Y-1,6853.0,92.76,0.99,1.65,0.7,2.48,0.09,7.24
VT-H-O-1,VT,lower,O-1,3715.0,94.15,0.75,1.29,0.49,2.53,0.11,5.85
VT-H-O-2,VT,lower,O-2,3672.0,91.06,1.63,1.85,1.39,3.72,0.11,8.94
VT-H-O-4,VT,lower,O-4,3456.0,93.95,1.1,1.88,0.75,1.57,0.12,6.05
VT-H-O-L,VT,lower,O-L,7079.0,93.17,0.45,1.19,0.71,3.44,0.04,6.83
VT-H-OR1,VT,lower,OR1,3389.0,91.74,1.03,1.36,0.59,4.19,0.06,8.26
VT-H-OR2,VT,lower,OR2,3524.0,91.94,0.88,1.56,0.82,3.41,0.11,8.06
VT-H-OR3,VT,lower,OR3,3543.0,93.28,0.37,1.64,0.41,2.87,0.0,6.72
