code,party
MS-04,REP
MT-01,REP
MT-02,REP
NC-01,DEM
NC-02,DEM
NC-03,REP
NC-04,DEM
NC-05,REP
NC-06,REP
NC-07,REP
NC-08,REP
NC-09,REP
NC-10,REP
NC-11,REP
NC-12,DEM
NC-13,REP
NC-14,REP
ND-01,REP
NE-01,REP
NE-02,REP
NE-03,REP
NH-01,DEM
NH-02,DEM
NJ-01,DEM
NJ-02,REP
NJ-03,DEM
NJ-04,REP
NJ-05,DEM
NJ-06,DEM
NJ-07,REP
NJ-08,DEM
NJ-09,DEM
NJ-10,DEM
NJ-11,DEM
NJ-12,DEM
NM-01,DEM
NM-02,DEM
NM-03,DEM
NV-01,DEM
NV-02,REP
NV-03,DEM
NV-04,DEM
NY-01,REP
NY-02,REP
NY-03,DEM
NY-04,DEM
NY-05,DEM
NY-06,DEM
NY-07,DEM
NY-08,DEM
NY-09,DEM
NY-10,DEM
NY-11,REP
NY-12,DEM
NY-13,DEM
NY-14,DEM
NY-15,DEM
NY-16,DEM
NY-17,REP
NY-18,DEM
NY-19,DEM
NY-20,DEM
NY-21,REP
NY-22,DEM
NY-23,REP
NY-24,REP
NY-25,DEM
NY-26,DEM
OH-01,DEM
OH-02,REP
OH-03,DEM
OH-04,REP
OH-05,REP
OH-06,REP
OH-07,REP
OH-08,REP
OH-09,DEM
OH-10,REP
OH-11,DEM
OH-12,REP
OH-13,DEM
OH-14,REP
OH-15,REP
OK-01,REP
OK-02,REP
OK-03,REP
OK-04,REP
OK-05,REP
OR-01,DEM
OR-02,REP
OR-03,DEM
OR-04,DEM
OR-05,DEM
OR-06,DEM
PA-01,REP
PA-02,DEM
PA-03,DEM
PA-04,DEM
PA-05,DEM
PA-06,DEM
PA-07,REP
PA-08,REP
PA-09,REP
PA-10,REP
PA-11,REP
PA-12,DEM
PA-13,REP
PA-14,REP
PA-15,REP
PA-16,REP
PA-17,DEM
RI-01,DEM
RI-02,DEM
SC-01,REP
SC-02,REP
SC-03,REP
SC-04,REP
SC-05,REP
SC-06,DEM
SC-07,REP
SD-01,REP
TN-01,REP
TN-02,REP
TN-03,REP
TN-04,REP
TN-05,REP
TN-06,REP
TN-07,REP
TN-08,REP
TN-09,DEM
TX-01,REP
TX-02,REP
TX-03,REP
TX-04,REP
TX-05,REP
TX-06,REP
TX-07,DEM
TX-08,REP
TX-09,DEM
TX-10,REP
TX-11,REP
TX-12,REP
TX-13,REP
TX-14,REP
TX-15,REP
TX-16,DEM
TX-17,REP
TX-18,DEM
TX-19,REP
TX-20,DEM
TX-21,REP
TX-22,REP
TX-23,REP
TX-24,REP
TX-25,REP
TX-26,REP
TX-27,REP
TX-28,DEM
TX-29,DEM
TX-30,DEM
TX-31,REP
TX-32,DEM
TX-33,DEM
TX-34,DEM
TX-35,DEM
TX-36,REP
TX-37,DEM
TX-38,REP
UT-01,REP
UT-02,REP
UT-03,REP
UT-04,REP
VA-01,REP
VA-02,REP
VA-03,DEM
VA-04,DEM
VA-05,REP
VA-06,REP
VA-07,DEM
VA-08,DEM
