race_code,slot,name,wiki_title,description,image_url,page_url
MN-SEN,dem,Peggy Flanagan,Peggy Flanagan,American politician and Ojibwe activist (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/2026PeggyFlanagan_%28newcropped%29.jpg/330px-2026PeggyFlanagan_%28newcropped%29.jpg,https://en.wikipedia.org/wiki/Peggy_Flanagan
MS-SEN,dem,Scott Colom,Scott Colom,American lawyer (born 1982),,https://en.wikipedia.org/wiki/Scott_Colom
MS-SEN,rep,Cindy Hyde-Smith,Cindy Hyde-Smith,American politician (born 1959),https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg/330px-Official_headshot_of_US_Senator_Cindy_Hyde-Smith.jpg,https://en.wikipedia.org/wiki/Cindy_Hyde-Smith
MT-SEN,rep,Kurt Alme,Kurt Alme,American lawyer (born 1966),https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kurt_G._Alme_official_photo.jpg/330px-Kurt_G._Alme_official_photo.jpg,https://en.wikipedia.org/wiki/Kurt_Alme
MT-SEN,ind,Seth Bodnar,Seth Bodnar,American academic administrator (born 1979),https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Seth_Bodnar_-_President_at_University_of_Montana_%28cropped%29.jpg/330px-Seth_Bodnar_-_President_at_University_of_Montana_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Seth_Bodnar
NC-SEN,dem,Roy Cooper,Roy Cooper,Governor of North Carolina from 2017 to 2025,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Roy_Cooper_in_November_2023_%28cropped2%29.jpg/330px-Roy_Cooper_in_November_2023_%28cropped2%29.jpg,https://en.wikipedia.org/wiki/Roy_Cooper
NC-SEN,rep,Michael Whatley,Michael Whatley,American politician and lawyer,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Michael_Whatley_%2854670563614%29_%28cropped%29.jpg/330px-Michael_Whatley_%2854670563614%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Michael_Whatley
NE-SEN,rep,Pete Ricketts,Pete Ricketts,American politician (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Sen._Pete_Ricketts_Official_Portrait%2C_118th_Congress.jpg/330px-Sen._Pete_Ricketts_Official_Portrait%2C_118th_Congress.jpg,https://en.wikipedia.org/wiki/Pete_Ricketts
NE-SEN,ind,Dan Osborn,Dan Osborn,American labor union leader (born 1975),https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Osborn_Headshot_2_%28cropped%29.jpg/330px-Osborn_Headshot_2_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Dan_Osborn
NH-SEN,rep,John E. Sununu,John E. Sununu,American politician (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/John_E._Sununu.jpg/330px-John_E._Sununu.jpg,https://en.wikipedia.org/wiki/John_E._Sununu
