race_code,slot,name,wiki_title,description,image_url,page_url
OK-GOV,rep,Gentner Drummond,Gentner Drummond,American attorney and politician (born 1963),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Gentner_Drummond_2024_%28cropped%29.jpg/330px-Gentner_Drummond_2024_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Gentner_Drummond
OR-GOV,dem,Tina Kotek,Tina Kotek,Governor of Oregon since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tina_Kotek_official_portrait_2021%283x4_cropped%29.jpg/330px-Tina_Kotek_official_portrait_2021%283x4_cropped%29.jpg,https://en.wikipedia.org/wiki/Tina_Kotek
OR-GOV,rep,Christine Drazan,Christine Drazan,American politician (born 1972),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Christine_Drazan_in_August_2022_%28cropped%29.jpg/330px-Christine_Drazan_in_August_2022_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Christine_Drazan
PA-GOV,dem,Josh Shapiro,Josh Shapiro,Governor of Pennsylvania since 2023,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Josh_Shapiro_December_2025.jpg/330px-Josh_Shapiro_December_2025.jpg,https://en.wikipedia.org/wiki/Josh_Shapiro
PA-GOV,rep,Stacy Garrity,Stacy Garrity,American politician and businesswoman (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Stacy_Garrity%2C_2024.jpg/330px-Stacy_Garrity%2C_2024.jpg,https://en.wikipedia.org/wiki/Stacy_Garrity
RI-GOV,dem,Helena Foulkes,Helena Buonanno Foulkes,American businesswoman (born 1964),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/HelenaFoulkes_CROP.jpg/330px-HelenaFoulkes_CROP.jpg,https://en.wikipedia.org/wiki/Helena_Buonanno_Foulkes
SC-GOV,dem,Jermaine Johnson,Jermaine Johnson (politician),American politician and basketball player (born 1985),,https://en.wikipedia.org/wiki/Jermaine_Johnson_(politician)
SC-GOV,rep,Alan Wilson,Alan Wilson (politician),American politician (born 1973),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Alan_Wilson_in_August_2025.jpg/330px-Alan_Wilson_in_August_2025.jpg,https://en.wikipedia.org/wiki/Alan_Wilson_(politician)
SD-GOV,dem,Dan Ahlers,Dan Ahlers,American businessman and politician,,https://en.wikipedia.org/wiki/Dan_Ahlers
TN-GOV,rep,Marsha Blackburn,Marsha Blackburn,American politician (born 1952),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Sen._Marsha_Blackburn_%28R-TN%29_official_headshot_-_116th_Congress.jpg/330px-Sen._Marsha_Blackburn_%28R-TN%29_official_headshot_-_116th_Congress.jpg,https://en.wikipedia.org/wiki/Marsha_Blackburn
TX-GOV,dem,Gina Hinojosa,Gina Hinojosa,American lawyer and politician (born 1973),https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Gina_Hinojosa_at_LBJ_Library_Forum_%283x4_cropped%29.jpg/330px-Gina_Hinojosa_at_LBJ_Library_Forum_%283x4_cropped%29.jpg,https://en.wikipedia.org/wiki/Gina_Hinojosa
TX-GOV,rep,Greg Abbott,Greg Abbott,Governor of Texas since 2015,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Greg_Abbott_at_NASA_2024_%28cropped%29.jpg/330px-Greg_Abbott_at_NASA_2024_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Greg_Abbott
