code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
OR-S-25,41025,OR,upper,25,State Senate District 25,51102.0,25113.0,19983.0,61658.0,34624.0,24942.0,54764.0,29981.0,22731.0,11.375731772219265,16.254238995400062,13.753983912581575
OR-S-27,41027,OR,upper,27,State Senate District 27,62658.0,30293.0,25357.0,79183.0,46785.0,29991.0,88486.0,52758.0,32545.0,8.869721473495058,21.87402313222882,23.69553239628149
OR-S-11,41011,OR,upper,11,State Senate District 11,45351.0,20691.0,19381.0,54640.0,28741.0,23995.0,52024.0,26369.0,23748.0,3.2691155919345176,8.999544902912621,5.2297623560867565
OR-S-22,41022,OR,upper,22,State Senate District 22,78149.0,65440.0,5983.0,88754.0,79540.0,6906.0,81781.0,72012.0,5939.0,83.24629321087045,84.02239548388589,84.76222242177779
OR-S-16,41016,OR,upper,16,State Senate District 16,72703.0,30368.0,33913.0,88109.0,41917.0,43190.0,84651.0,39257.0,42266.0,-5.514848866694669,-1.495764155709871,-3.6909829127976157
OR-S-18,41018,OR,upper,18,State Senate District 18,59719.0,33705.0,18570.0,72320.0,47271.0,22433.0,66743.0,42849.0,20998.0,28.952654232424678,35.6335360954895,34.2240042601845
OR-S-26,41026,OR,upper,26,State Senate District 26,69809.0,29062.0,33108.0,85415.0,40050.0,42527.0,82814.0,37128.0,42675.0,-6.507962039568923,-2.9996245928042917,-6.950866508777866
OR-S-20,41020,OR,upper,20,State Senate District 20,63385.0,30976.0,25080.0,77345.0,43169.0,31665.0,75108.0,41221.0,30918.0,10.518053375196232,15.37269155731352,14.282149738698902
OR-S-23,41023,OR,upper,23,State Senate District 23,71187.0,53900.0,10147.0,82456.0,67499.0,12571.0,75139.0,61184.0,10667.0,68.31389448373851,68.59997502185587,70.3079984968894
OR-S-21,41021,OR,upper,21,State Senate District 21,81725.0,63574.0,10262.0,94626.0,79956.0,11990.0,87743.0,73537.0,10209.0,72.20326128175958,73.91947447414788,75.61913404819335
OR-S-30,41030,OR,upper,30,State Senate District 30,68195.0,16423.0,45544.0,82272.0,23989.0,56118.0,77090.0,20915.0,53834.0,-46.99436797004857,-40.10760607687218,-44.03938514227615
OR-S-24,41024,OR,upper,24,State Senate District 24,54511.0,30318.0,18363.0,66444.0,40350.0,24040.0,54279.0,32421.0,19695.0,24.55783570592223,25.330020189470414,24.418604651162788
OR-S-1,41001,OR,upper,1,State Senate District 1,70697.0,20082.0,44266.0,84691.0,27594.0,54735.0,81980.0,26560.0,52930.0,-37.583141667184684,-32.96651240753562,-33.17398414894955
OR-S-2,41002,OR,upper,2,State Senate District 2,71827.0,20762.0,44438.0,84015.0,28747.0,52918.0,80054.0,26331.0,51297.0,-36.31288343558282,-29.59774689279373,-32.161075900448296
OR-S-7,41007,OR,upper,7,State Senate District 7,70944.0,38769.0,23888.0,83054.0,52581.0,27639.0,79610.0,50325.0,26454.0,23.74994015034234,31.091997008227374,31.090532567498926
OR-S-8,41008,OR,upper,8,State Senate District 8,68463.0,35793.0,23902.0,78005.0,46446.0,28417.0,74254.0,44225.0,27013.0,19.91959125554904,24.082657654649157,24.161262247676802
