race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
TX-13,96024,4036265,0,8656,5410801,0,0.0,0.0
TX-14,31761,972561,0,0,921878,0,0.0,0.0
TX-15,2960462,5273960,0,1155936,2463323,0,1197935.0,0.0
TX-16,858766,0,0,270455,0,0,0.0,0.0
TX-17,0,1050237,0,0,933956,0,0.0,0.0
TX-18,3637579,0,0,156016,0,0,7061640.0,0.0
TX-19,31276,2143025,0,7631,384766,0,80633.0,1282423.0
TX-20,514776,48536,0,154380,21462,0,0.0,0.0
TX-21,243839,4177191,0,104069,461164,0,0.0,1118370.0
TX-22,41012,206463,0,116,23258,0,0.0,141263.0
TX-23,498548,1937719,0,176111,309023,0,173119.0,40724.0
TX-24,0,2540738,0,0,2873013,0,0.0,0.0
TX-25,0,1424050,0,0,1076189,0,0.0,0.0
TX-26,17227,4217213,0,3807,1411512,0,0.0,0.0
TX-27,139788,1062241,0,11311,271133,0,0.0,0.0
TX-28,2231952,1399881,0,1129604,768188,0,10387.0,0.0
TX-29,987402,0,0,200973,0,0,522942.0,0.0
TX-30,420153,357415,0,119776,-21795,0,200000.0,0.0
TX-31,123522,1419042,0,17400,170827,0,0.0,55000.0
TX-32,58931,865911,0,0,125412,0,2125.0,1542372.0
TX-33,7431941,0,0,159887,0,0,50000.0,0.0
TX-34,3773915,2874990,0,2532412,686332,0,1606.0,524573.0
TX-35,931699,1048751,0,323108,272389,0,3507019.0,2465913.0
TX-36,0,1006944,0,0,908646,0,0.0,0.0
TX-37,1172881,117890,0,597005,770,0,0.0,0.0
TX-38,66929,1644127,0,43939,89133,0,43939.0,662527.0
UT-01,2262255,132533,0,299350,9568,0,2427546.0,0.0
UT-02,60225,2536636,0,23283,1886962,0,520898.0,521354.0
UT-03,47533,1453861,0,13335,322379,0,300000.0,1328557.0
UT-04,53579,971392,0,1129,391557,0,0.0,0.0
VA-01,2054507,4016190,0,1181300,4269831,0,425048.0,0.0
VA-02,4443281,5843429,0,3565596,3592183,0,0.0,90978.0
VA-03,659665,0,0,169258,0,0,0.0,0.0
VA-04,1124945,0,0,192447,0,0,0.0,0.0
VA-05,2095712,1746971,0,1536941,565242,0,0.0,0.0
VA-06,1590045,1413562,0,830689,769639,0,0.0,6348.0
VA-07,12056375,392454,0,6661974,102338,0,180667.0,0.0
VA-08,2086520,3300,0,864385,1317,0,0.0,0.0
VA-09,53280,1825004,0,5343,1038125,0,0.0,0.0
VA-10,1153226,223056,0,609264,2832,0,0.0,0.0
VA-11,2725747,268077,0,968203,0,0,1012792.0,6880.0
VT-01,0,0,0,0,0,0,0.0,0.0
WA-01,3472358,0,0,1595476,0,0,56560.0,0.0
WA-02,1992847,0,0,669645,0,0,0.0,0.0
WA-03,6183270,1980862,0,3905263,1450415,0,232898.0,0.0
WA-04,179804,565896,0,51014,129704,0,0.0,0.0
WA-05,387475,1709514,0,167895,1084882,0,135309.0,1294.0
WA-06,1175421,22907,0,233739,957,0,0.0,0.0
WA-07,2474297,0,0,1884718,0,0,0.0,0.0
WA-08,2931993,154590,0,3450508,37815,0,52520.0,0.0
WA-09,1812862,0,0,1170946,0,0,0.0,0.0
WA-10,1479527,0,0,691248,0,0,51510.0,0.0
WI-01,653922,5302289,0,220682,6177414,0,0.0,0.0
WI-02,777289,2840,0,863539,0,0,0.0,0.0
WI-03,8305020,7289146,0,2456680,4684610,0,12898.0,153880.0
WI-04,1029973,0,0,45491,4718,0,0.0,0.0
WI-05,14612,1345665,0,3158,1314848,0,0.0,0.0
WI-06,44015,865241,0,0,803602,0,0.0,0.0
WI-07,392760,3403946,0,165680,0,0,0.0,0.0
WI-08,132784,1044881,0,18853,500919,0,0.0,0.0
WV-01,258330,1746898,0,258330,604379,0,0.0,0.0
WV-02,134245,1325162,0,43669,751072,0,0.0,0.0
WY-01,0,0,0,0,0,0,0.0,0.0
