race_code,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside
CA-06,1098283,2988805,0,359132,2123953,0,2301713.0,75888.0
CA-07,3192087,0,0,467456,0,0,0.0,140000.0
CA-08,489135,8576,0,1196018,1541,0,0.0,0.0
CA-09,4083528,52178,0,4739488,18738,0,0.0,0.0
CA-10,567258,0,0,586497,0,0,0.0,0.0
CA-11,4561120,0,0,1237192,0,0,1657500.0,41145.0
CA-12,1449191,0,0,777590,0,0,111599.0,0.0
CA-13,4191397,2237084,0,2072111,837885,0,991.0,54907.0
CA-14,575282,0,0,227893,0,0,0.0,0.0
CA-15,822012,0,0,220935,0,0,0.0,0.0
CA-16,3489798,0,0,2153446,0,0,0.0,0.0
CA-17,13761491,37653,0,16929752,891,0,0.0,37500.0
CA-18,1721916,60180,0,643341,3307,0,109274.0,0.0
CA-19,2887610,76324,0,5109558,24682,0,1198560.0,0.0
CA-20,17086,1849356,0,-2017,453750,0,0.0,0.0
CA-21,1337630,338971,0,937778,17934,0,0.0,0.0
CA-22,2645560,4927602,0,571792,3365587,0,3227686.0,2352829.0
CA-23,79499,1455868,0,10237,1644222,0,18690.0,519365.0
CA-24,1650355,203264,0,3383604,47128,0,0.0,0.0
CA-25,2093907,936496,0,2556494,14847,0,0.0,0.0
CA-26,822382,377078,0,295478,33681,0,366028.0,0.0
CA-27,3963530,379440,0,2554917,201877,0,1074903.0,0.0
CA-28,930123,250,0,3674296,205,0,0.0,0.0
CA-29,670678,0,0,377476,0,0,0.0,0.0
CA-30,827895,58294,0,469254,2616,0,0.0,0.0
CA-31,705263,81571,0,259803,64913,0,0.0,0.0
CA-32,2514330,34316,0,2668480,2174,0,974078.0,0.0
CA-33,4722835,0,0,3457642,0,0,0.0,0.0
CA-34,1175128,0,0,781726,0,0,0.0,0.0
CA-35,769061,4759,0,339247,2873,0,0.0,0.0
CA-36,1832769,5139,0,1188399,801,0,106348.0,0.0
CA-37,1150468,0,0,185491,0,0,0.0,0.0
CA-38,1049534,0,0,154503,0,0,367531.0,0.0
CA-39,893848,0,0,186224,0,0,0.0,0.0
CA-40,0,6142469,0,0,1497001,0,577540.0,90780.0
CA-41,1602790,1709,0,415746,1659,0,300000.0,0.0
CA-42,2615120,231371,0,1381467,5509,0,0.0,0.0
CA-43,863683,0,0,269669,0,0,0.0,0.0
CA-44,785765,13898,0,1088423,8746,0,0.0,0.0
CA-45,4981277,756510,0,3257398,0,0,294010.0,0.0
CA-46,1226104,80726,0,2479554,6238,0,107387.0,0.0
CA-47,3381161,375883,0,1889360,128533,0,697088.0,0.0
CA-48,2174872,2258836,0,825012,1230031,0,2439978.0,705909.0
CA-49,3164023,58784,0,1418237,17916,0,60445.0,0.0
CA-50,1810961,0,0,2598276,0,0,0.0,0.0
CA-51,1639893,0,0,269452,0,0,0.0,0.0
CA-52,568520,25498,0,163676,1364,0,0.0,0.0
CO-01,1091198,2057,0,126406,1703,0,627215.0,675000.0
CO-02,2742281,0,0,3092918,0,0,0.0,0.0
CO-03,716276,3552599,0,84208,1760849,0,0.0,115849.0
