district_code,state,district,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_plus,educ_no_hs,educ_hs,educ_some_college,educ_associate,educ_bachelor,educ_master,educ_professional,educ_doctorate,inc_u10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,inc_35_40k,inc_40_45k,inc_45_50k,inc_50_60k,inc_60_75k,inc_75_100k,inc_100_125k,inc_125_150k,inc_150_200k,inc_200k_plus
CA-44,CA,44,577278,54019,391215,63997,65567,23573,6538,116503,109691,101425,92086,74058,39448,20256,155549,125089,96605,30946,64968,18233,3396,2279,9805,8287,6999,8219,8675,7833,8497,8953,7969,15982,21671,28674,22365,14945,18063,17079
CA-45,CA,45,603306,132700,190963,19128,255728,14321,5065,104090,95938,97655,101991,86605,49284,32413,91939,109184,101464,41839,119235,37761,9984,6097,10420,5752,4912,6229,6235,6255,5790,6194,6820,12901,17631,27903,24532,20700,27748,34934
CA-46,CA,46,579828,116973,346791,15716,96490,24915,3751,126381,116336,96307,94051,67811,34789,21878,132226,118782,96826,31035,82011,25523,6235,3743,9351,6983,5139,6210,6228,7031,6260,6476,6487,13439,19490,29645,23768,17753,22980,24923
CA-47,CA,47,607214,299582,101553,16291,182129,10102,2966,100464,105260,99260,103492,81364,55067,29840,26984,57655,86272,39331,183029,88601,25561,17194,14016,6418,4966,5983,5499,6254,5739,5094,5723,11452,18010,26630,29035,23801,37661,77271
CA-48,CA,48,580265,274728,208488,30504,54558,23016,5084,94324,105595,95330,93359,83895,55252,31698,71589,113870,125871,46280,99969,40104,9619,6258,12643,6850,7304,8622,8950,7475,7213,8089,8398,16206,22860,32189,27060,20580,27265,34704
CA-49,CA,49,591574,356610,116236,19096,88280,13692,5173,96049,95781,98165,98919,82302,51014,26407,34648,62295,92102,36977,154628,73896,22522,19992,8101,4456,4120,5327,6081,5939,5428,5590,5672,11534,16399,25001,25092,20221,34080,75272
CA-50,CA,50,627559,360378,104836,25286,123448,13949,5200,126234,122745,91279,90556,81408,55112,29385,35008,71331,99901,42351,168703,80008,22023,20227,12027,6412,5861,6270,6973,6143,5620,6972,6554,14101,21305,32354,30994,26491,38194,63389
CA-51,CA,51,608756,328618,148586,50274,70206,18237,6371,123698,128795,95005,88975,84769,48298,26346,46324,103826,129206,50392,132386,53732,14083,10265,10436,7421,8123,8982,8571,7930,7600,8794,8581,17676,26153,38994,33422,25636,31226,39649
CA-52,CA,52,580170,101922,333445,50356,95145,19792,5903,118861,116323,100150,92465,74991,39787,24154,102854,126960,114356,44586,83372,27137,6183,3162,9711,8607,6990,7719,7768,8514,8374,6983,6736,15747,20567,30697,24145,19087,23428,23146
CO-01,CO,1,586410,344786,143369,56656,30722,19566,2094,128591,149361,97288,74789,62000,37169,19610,49494,80579,81690,28023,173924,75252,23851,11327,15220,11364,8823,9426,9663,9608,9136,10298,10864,20508,28616,40754,32291,24943,34856,49799
CO-02,CO,2,585162,460289,71618,9482,27833,13527,1473,126223,98485,89892,88342,83516,47961,21225,20791,66942,80579,35850,160440,82829,17506,19377,13822,7273,7211,7986,7849,8009,7632,8562,8953,17163,23696,34852,30000,24080,32603,50784
CO-03,CO,3,568559,398631,129506,8454,8141,27593,1465,86199,92924,85586,89292,104177,62655,31427,42810,141665,116653,47343,105019,40211,9535,6120,14906,12247,12965,12269,12997,12349,11707,11820,11488,23135,30560,38880,28089,19297,19566,20712
CO-04,CO,4,543496,426412,64267,13378,24379,14500,1569,81700,97202,105421,99249,82212,46858,22722,24124,96386,100856,44956,149117,62050,10467,7064,7993,5075,5261,5916,6175,6446,6805,6675,6577,13407,20259,34293,30945,26244,36942,51440
CO-05,CO,5,551904,381336,85324,42273,27175,19232,4209,118750,107009,87014,84516,72851,41481,20425,24587,93012,112593,52346,116213,57712,8895,7824,10037,6652,6928,7329,8933,8434,9265,9412,8530,19241,28621,38712,30408,22744,27907,30206
CO-06,CO,6,553634,331034,107508,63003,40606,16756,2651,98737,109620,99845,87322,77877,44617,21219,42146,97893,96617,41370,135887,60249,12689,8607,9450,6591,5314,6821,7018,7194,8022,8335,9232,18706,25852,36559,31817,22943,30857,41355
CO-07,CO,7,584413,452432,77677,11945,23725,18627,1353,90873,111045,92844,97392,94445,57650,27421,27420,109464,103583,43122,155631,68689,12444,11498,9353,6666,5911,8062,7688,7762,8405,8779,8201,18580,26108,38163,33430,26199,36210,46732
CO-08,CO,8,535998,300744,184927,13910,23257,21423,1536,103173,114922,95565,82993,67692,36304,17534,65712,128267,102485,41713,87387,34801,4657,4417,8324,6091,6222,6161,7135,7614,8509,7657,8590,17565,23641,37967,29391,25270,27016,25133
CT-01,CT,1,575609,350479,89239,97385,35899,8694,837,95943,97933,87918,100058,86597,51120,32885,47618,134925,86799,42939,110025,64122,13632,7174,14731,11580,8507,9013,8814,9726,8020,8326,9885,18551,24003,37855,30464,22907,32637,37259
