district_code,state,district,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_plus,educ_no_hs,educ_hs,educ_some_college,educ_associate,educ_bachelor,educ_master,educ_professional,educ_doctorate,inc_u10k,inc_10_15k,inc_15_20k,inc_20_25k,inc_25_30k,inc_30_35k,inc_35_40k,inc_40_45k,inc_45_50k,inc_50_60k,inc_60_75k,inc_75_100k,inc_100_125k,inc_125_150k,inc_150_200k,inc_200k_plus
FL-13,FL,13,643737,494870,66182,41381,28007,11992,1154,83506,92301,90488,112808,115047,84050,52056,47582,166067,124967,59808,125595,48413,13868,7289,18303,12625,12450,14637,13895,13608,14107,14155,14910,27576,31691,41768,30847,19306,24178,27901
FL-14,FL,14,595835,328718,155046,79813,27812,12361,1345,95085,112812,106033,101880,80272,56869,27312,52534,140741,98431,52012,124302,50156,13924,6788,12912,7531,7772,9169,9231,10661,11398,10417,11370,20089,28852,39275,32223,21702,26274,33286
FL-15,FL,15,619782,396132,92649,93253,29211,11997,1120,101775,95697,87940,96049,102658,82290,43008,60106,173892,117866,57110,91946,40198,8758,6189,18871,12798,13182,14306,15286,14630,14642,13109,14488,26552,31004,41357,25205,16446,18634,17304
FL-16,FL,16,635485,449118,82021,76140,17148,10299,915,81908,83759,84590,107241,120089,97337,50530,54515,169440,113103,53440,121183,52277,13235,8602,14979,10737,11306,12570,12945,12878,13201,13214,12774,23510,31006,40733,29238,21642,25097,29606
FL-17,FL,17,655953,512425,72168,45497,13689,9976,726,70177,73049,73617,99077,133785,126127,74453,52479,182064,128386,57510,114729,56185,15605,8707,16088,10653,12888,14166,14109,13884,13807,12975,15096,27377,36066,47556,33104,22037,22000,30414
FL-18,FL,18,599646,337325,149406,91785,15301,12869,1149,102126,102348,94400,93963,90799,70399,34284,67463,179020,117704,53207,80897,30268,5538,4438,14387,9458,10463,12204,12857,13807,11562,12452,13505,23452,32294,39676,24555,16125,15818,14951
FL-19,FL,19,645329,468522,122093,32734,13636,8023,729,72650,76047,77298,100189,123637,119900,67839,47807,168533,116678,56383,128649,56380,17458,9961,14809,9080,9557,10347,12490,11599,12375,11961,10860,25816,32381,44031,33299,22554,24890,38713
FL-20,FL,20,613033,184626,142604,257938,22585,6963,1191,99383,108656,96271,99182,95159,59668,35402,71809,161648,108359,54720,100155,39777,8646,5031,16981,14562,13469,14083,14870,13716,12819,13400,14161,24602,31510,38674,27795,16762,18499,15730
FL-21,FL,21,627454,423674,94549,82252,17796,9654,1042,78487,83848,86256,108648,111154,93227,54934,51384,147321,119678,58671,126904,50487,16835,8314,13827,8239,9313,10358,12074,10799,11130,10341,11380,21943,30307,40867,30732,23601,25021,36873
FL-22,FL,22,595366,291480,184519,80805,29309,7735,948,85549,91326,105761,111739,88300,60938,32622,56774,125945,87713,50929,124819,58701,18879,8888,9918,6687,6379,7733,7435,9117,7907,8419,7803,16670,22721,33607,28477,20934,29262,43764
FL-23,FL,23,620743,295326,160750,143614,18423,10165,1046,93415,100088,89907,95574,95837,82346,59150,82769,152930,104297,53593,110536,45534,14879,6755,16837,10910,11950,13970,13757,14053,11875,13499,12623,23899,29287,39731,29084,18624,18726,25831
FL-24,FL,24,605907,70260,247952,289130,12951,6725,894,110813,119338,103869,100556,86544,51402,28978,103918,183939,90288,50692,76821,29887,10640,3962,19815,15864,12555,15760,14261,14174,14314,11175,13030,21680,27958,36126,20492,12553,12710,11541
FL-25,FL,25,648772,382680,179993,48108,20789,6342,814,77535,88993,96912,108144,103919,84309,55228,40629,113233,96800,50245,162404,70524,31844,11871,20727,13132,12030,12585,13432,13602,12235,11938,12026,23722,29897,38959,29369,20341,27224,50733
FL-26,FL,26,615491,77152,457140,65611,23908,4673,606,90489,98767,116012,116274,81563,51768,36224,83112,147751,78015,56647,111750,42925,16457,5379,15064,11489,8847,9378,10284,9651,8754,9104,9886,19210,24117,34903,26163,17356,23208,23535
FL-27,FL,27,636033,106773,472417,44889,16686,5465,581,94588,109664,104554,109030,84422,56229,42580,80017,125337,73888,48572,136044,57289,26637,10663,15718,16044,11821,11161,10813,10695,10505,9451,9676,19450,23713,32624,24647,17624,22942,42506
FL-28,FL,28,609100,93344,446174,62909,13562,6966,584,94099,100473,105386,112936,80162,55347,30279,91739,147183,81987,55204,104609,33966,11277,5125,13202,9506,8447,9921,9141,9699,8804,8846,8077,17418,23824,34041,25519,17914,22242,19598
GA-01,GA,1,589266,355947,39938,166025,17615,11791,1718,112498,106117,91755,93427,84846,54811,25241,55137,156198,117296,44353,86122,38652,10268,5907,17051,12046,11489,13014,14754,11467,12541,10971,11750,23476,28649,38718,26386,19401,19620,18141
GA-02,GA,2,587555,251047,30074,289612,11125,9075,1286,107553,99766,88097,91307,88830,52525,28099,76741,163988,109591,46331,61657,29961,7491,5194,26028,20110,15467,16798,14550,15217,13311,11624,12881,20962,27310,31995,22034,13749,12638,10680
GA-03,GA,3,586319,391849,31274,136708,14933,12255,694,97057,92690,97988,106134,90079,56132,26040,56729,162271,107957,45117,89120,38445,10099,6350,13824,9970,10735,10623,9443,9959,10156,10367,9515,19668,27138,39935,28660,20360,23668,26506
GA-04,GA,4,582946,126798,99121,294887,62023,11085,846,110586,116105,102255,95153,75019,40235,18183,60488,116068,89199,46117,120224,54919,12081,8861,13433,8352,9437,10577,12650,13079,12748,11633,12399,22027,27818,36288,24205,16268,20527,26046
GA-05,GA,5,613735,206531,52720,313396,38832,9366,827,142420,130615,95373,87319,68153,36570,17201,47739,108642,78065,33674,134979,72727,22810,14527,22913,15298,12524,12464,12393,13024,10779,11922,11670,20649,27106,37022,28093,19766,24571,40667
GA-06,GA,6,593690,194739,63188,307240,25562,9671,779,119643,122723,105375,94646,71394,40734,19341,40486,106553,91176,40606,148816,67555,17883,9032,13473,8181,7960,9089,9597,10191,10824,9825,11490,23420,29551,44307,30431,23522,27842,42837
GA-07,GA,7,579339,386820,52419,51721,76658,10367,730,77659,98308,119596,115978,82067,47047,21903,32396,75540,83339,32620,180807,89727,16593,11093,7352,3940,4586,6179,5458,5467,5772,7195,6854,13923,19790,33325,27420,24538,37663,69873
GA-08,GA,8,585857,354572,35732,175967,11877,9554,841,108162,98037,94047,95639,88254,53367,25172,68998,172743,102264,48651,65284,32928,9730,5672,21707,14341,14434,13570,13664,14044,11096,11043,9818,20760,27026,35027,25192,15166,17184,14688
GA-09,GA,9,582752,375905,79950,73716,42974,13488,690,94711,93057,103787,105017,87435,59727,23121,70461,144974,97501,42102,103343,41714,10652,6890,10924,8282,8707,8752,10217,9502,8888,9724,9631,19352,25641,35902,27836,21500,23276,27514
GA-10,GA,10,590322,385356,38081,139872,16437,11395,724,114058,93247,99092,100009,82914,53589,22690,58504,153335,105389,41312,84200,39392,9589,9394,14638,10250,9803,10681,11101,11103,10783,11083,11079,20017,27080,38941,27159,20245,22571,20682
GA-11,GA,11,589100,408681,61477,75588,27956,13911,728,97898,103316,103924,102107,87292,52604,22043,46483,119163,102844,38123,138730,53736,11928,7453,11109,6928,6850,8047,8584,8523,8575,8908,8884,16811,25053,35415,31971,23583,30653,40924
GA-12,GA,12,588119,321394,28628,215958,15023,9842,1312,110495,99617,93143,91759,87125,53022,26765,67270,168722,103161,46925,70253,31379,9494,6575,18387,15540,14143,14336,13772,11888,11350,10749,11064,19726,26322,31648,24299,14340,16049,15192
GA-13,GA,13,572137,159219,72417,294376,44296,10588,896,98215,102872,104139,106738,79338,43825,18666,55276,138274,106676,48233,97378,42654,8174,6542,9643,5617,6640,7239,10065,9706,9082,9214,10024,20266,28215,40186,28416,21826,23053,18881
GA-14,GA,14,579137,423475,57899,72920,11273,15497,657,94982,94152,104272,104974,86196,50921,23577,71931,156825,109881,40475,83676,35515,8342,5190,10710,9582,9706,10614,10110,11325,11611,11285,9925,21302,25105,38659,27982,20959,21254,21463
HI-01,HI,1,585659,94213,38697,18240,398963,10962,104993,98321,103704,89562,89927,85412,57975,42253,41195,124231,98879,59273,126695,47969,14510,8712,9964,5948,4933,6450,5543,6174,6590,7073,7395,13602,20472,32257,27877,22228,30841,42362
HI-02,HI,2,570246,181411,54410,13744,247592,17167,159458,92061,96280,85223,86202,95813,62219,29455,33398,148596,108187,53787,100548,38015,11029,7505,10582,6655,5491,6809,6419,6938,6479,6880,6763,14101,19967,30536,25999,20143,25916,34519
IA-01,IA,1,618402,530702,28937,29258,16682,9848,807,111486,100203,92462,97903,99004,60585,34342,32890,162653,108552,62023,106763,41471,10435,9597,15228,12502,11269,11983,13062,13007,12917,12299,13015,25742,31610,43230,35028,23823,24694,22812
IA-02,IA,2,617226,545476,18656,29445,11217,9006,1906,104924,96755,88460,99372,103144,62974,39284,32759,175210,107658,70058,103893,35190,8281,5044,12637,11936,12088,13089,12416,13557,13572,12882,13663,25418,33798,48678,34973,23486,23182,21875
IA-03,IA,3,600958,493314,39637,30959,25010,9498,1151,104118,113686,99654,97220,88374,52239,29528,39029,146538,103859,56804,129728,42843,10640,6567,11828,10532,10222,10468,10917,11820,12170,12210,13080,23509,31986,45770,34684,24424,29379,29157
IA-04,IA,4,613517,524277,46874,14474,15041,10365,2764,110929,92791,86194,94941,101326,60456,40477,43967,168391,109186,66296,92996,28785,6675,6421,13851,11884,14080,12852,12307,13663,11704,12387,13125,25027,34050,46239,35359,22813,21263,17908
ID-01,ID,1,692128,572254,68233,6356,14311,24703,2781,110813,118844,114614,114146,113994,77019,33002,52884,171986,163875,61932,119899,40723,9961,6898,12493,10462,10956,12817,12048,13736,12554,12913,14446,27109,38638,51817,36628,25748,23823,24545
ID-02,ID,2,684272,549212,83467,9691,18051,20822,2945,135614,120040,110218,99151,100007,60808,29879,50836,147192,139689,57679,124473,45037,10723,8509,12367,12144,11777,13383,13728,13634,13640,13639,13769,28536,35115,48889,32171,23178,24193,24427
IL-01,IL,1,589021,217813,46406,306380,15438,8185,528,101568,90640,93084,103046,92359,53989,31138,45859,135228,125577,44934,95394,52192,9145,7388,24770,15615,10751,11223,11910,11460,10330,9148,8721,19488,24255,35838,26804,21298,26353,26791
IL-02,IL,2,580993,210713,77611,280964,7783,10704,615,97883,94320,91173,95625,93065,53388,29913,55046,157487,129082,45153,71785,37672,5920,5048,23322,14223,13197,12325,13670,13804,12148,12112,12123,22526,29096,36418,27459,17106,19689,14660
IL-03,IL,3,588880,251848,257871,35538,43017,20324,1026,109015,122119,100570,92574,77009,39391,21261,81049,127666,84063,37184,116258,49270,10589,5324,10995,8430,6937,8774,9837,9013,8575,8490,9044,17954,23721,37481,28146,20393,27908,32508
IL-04,IL,4,563323,147658,356197,32793,26345,27272,660,106189,102615,100344,89975,69359,44047,21676,112615,148395,77115,29730,69177,31147,7932,3957,11145,7017,7654,12198,13034,11057,9421,9287,9498,17026,23201,29541,24053,16171,19697,21849
IL-05,IL,5,618186,453104,65900,20617,72694,7407,730,119820,129492,94064,92101,82493,48169,30567,27001,71792,69375,27888,204124,106107,32422,12513,13059,6855,6481,7827,6781,7669,7446,7581,7386,16042,23963,38455,32850,27066,39226,80204
IL-06,IL,6,593478,442873,70055,34837,38785,7954,548,85162,98465,91963,101650,100764,60400,33573,34443,118251,103181,45263,140563,65572,16186,8564,11038,5881,6549,7360,7966,8555,8433,8147,9894,17694,24681,37385,31413,26228,34102,47283
