code,level,state,district,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
AK-01,district,AK,1,318608,116454,163387,357569,153778,189951,337780,139695,184410,-16.77130942213614,-10.523697447698623,-13.796454852594067
AL-01,district,AL,1,297479,97477,190125,324766,111504,209022,328069,103121,220876,-32.2139623507486,-30.424364950113254,-36.34447232536104
AL-02,district,AL,2,294563,127407,159319,310336,139947,166756,293174,123962,165887,-11.12978941567908,-8.741029595406632,-14.464428029767223
AL-03,district,AL,3,289677,79538,200498,322821,93356,225352,316410,82862,230048,-43.194446428316354,-41.41596696662776,-47.03780639800581
AL-04,district,AL,4,297488,51956,236405,326492,60120,262489,323861,52911,267661,-63.96461380006312,-62.72887613178801,-66.98963103452579
AL-05,district,AL,5,298086,92178,189897,346248,122869,216421,353600,122382,224861,-34.64291411858548,-27.572872763712457,-29.512185990790314
AL-06,district,AL,6,320579,88483,217406,356423,116892,233531,349473,112016,231535,-42.14698795968472,-33.285201028471306,-34.789303480414844
AL-07,district,AL,7,325952,192568,124979,336196,204936,127599,300503,175158,121748,21.28472320632851,23.256800036086428,17.988858426572722
AR-01,district,AR,1,274701,82710,178526,286792,80516,197832,279751,73540,200849,-36.677946377987716,-42.14724014542946,-46.39726811205988
AR-02,district,AR,2,306119,120843,166843,333041,140254,183964,322108,131691,182666,-15.989655388166266,-13.481669740730004,-16.21564017979558
AR-03,district,AR,3,259373,82476,156678,300274,110479,180794,316568,114236,193730,-31.026869715748013,-24.140582889591553,-25.812589701460553
AR-04,district,AR,4,290299,94416,182697,298962,92683,198057,280797,81677,193950,-31.857401132390034,-36.24337896402284,-40.73367268083315
AZ-01,district,AZ,1,371758,165645,181468,462714,231828,225000,450734,216232,230237,-4.558457908519704,1.4946544432477868,-3.1368359281383476
AZ-02,district,AZ,2,317058,130295,162484,405642,183709,215674,416477,174969,237306,-10.994299454537382,-8.003595546129906,-15.120247407676915
AZ-03,district,AZ,3,170143,121424,36498,229528,171012,54815,213222,147522,62762,53.777181140056484,51.45398911556192,40.30739381027563
AZ-04,district,AZ,4,292378,136013,128842,371378,201148,162949,347506,182893,159723,2.7075192086235864,10.49143497474574,6.762673080066313
AZ-05,district,AZ,5,293915,103832,166365,417448,171318,239637,445025,175673,264571,-23.14348419856623,-16.624447932255357,-20.192893032045866
AZ-06,district,AZ,6,354405,155070,173737,436083,214892,214586,440175,216024,219323,-5.677190570760355,0.07124928401454789,-0.7577863175811479
AZ-07,district,AZ,7,236125,149723,70427,296842,194849,97589,281685,170352,108028,36.01907790143084,33.25833168056135,22.388102593577123
AZ-08,district,AZ,8,313776,116708,176019,402270,171106,225569,392023,162183,226186,-20.261540616342188,-13.729879624377638,-16.479945618728582
AZ-09,district,AZ,9,255099,82457,156561,363389,132281,225867,402472,137012,262106,-31.00352274724079,-26.130538213252624,-31.342610456055603
CA-01,district,CA,1,321841,170598,126522,369547,212964,147017,341644,186164,144424,14.834410339256864,18.319577977726603,12.6259876341549
CA-02,district,CA,2,360469,211519,123116,417404,263170,144491,389315,236524,140558,26.41773873025834,29.112178991858435,25.449636948992527
CA-03,district,CA,3,312846,158917,130674,390775,217623,163088,366634,195637,158302,9.75272021575256,14.324513870100944,10.548427836435092
CA-04,district,CA,4,294872,167192,107953,361299,214496,138292,343934,191758,141847,21.530102309691255,21.600507953785275,14.961106698041096
CA-05,district,CA,5,307542,117813,171874,383759,159852,215543,362461,139201,214114,-18.661866083048256,-14.835306810159965,-21.202892602918073
CA-06,district,CA,6,267285,138060,110749,357325,196529,151560,336344,176808,148595,10.976692965286626,12.91882248505411,8.670172063564257
CA-07,district,CA,7,292191,164796,109416,375056,220144,146476,346907,190078,145585,20.19605268916021,20.093830123833943,13.25525899488475
CA-08,district,CA,8,276809,191499,69772,343801,241492,94851,312348,204494,98040,46.590321926275784,43.598647808933144,35.187450005619205
CA-09,district,CA,9,223768,135705,76029,295299,183175,105771,268485,145369,114692,28.1844200742441,26.78839644777917,11.79607861232557
CA-10,district,CA,10,332881,215821,96748,413477,282092,122486,377829,246078,119171,38.09494863534132,39.44999480940635,34.74533811180866
CA-11,district,CA,11,363048,312188,32219,393710,339716,46188,361181,295462,50870,81.29015960767349,76.06244039968489,70.62356351708765
CA-12,district,CA,12,326129,285851,21158,367980,328667,31678,318372,269134,33869,86.21669071590735,82.4179605655691,77.64444576456339
CA-13,district,CA,13,172949,99641,63356,223212,128684,89225,207956,101626,100599,22.261145910660932,18.108017566966026,0.5078501668933119
CA-14,district,CA,14,261784,185055,61360,327119,234592,85794,285585,186755,87473,50.197836982326564,46.44335270579863,36.20418046297242
CA-15,district,CA,15,288196,222846,51514,351206,272983,71576,305556,220581,74238,62.447878699518874,58.453559477477,49.63825262279568
CA-16,district,CA,16,323947,241413,63325,378287,284912,85226,340107,245843,82146,58.43970886466408,53.94906764504049,49.909295738576596
CA-17,district,CA,17,244152,181413,48738,303008,221507,75429,264237,177855,74877,57.64693614192421,49.19511275156936,40.74592849342387
CA-18,district,CA,18,209851,148302,49331,267322,187853,73682,237448,148784,81233,50.078175203533824,43.65419542317472,29.367829334353544
CA-19,district,CA,19,343793,228213,92930,412422,283131,119846,376406,246335,116873,42.12547058475508,40.51968226474464,35.644038677562165
CA-20,district,CA,20,254783,79369,161348,330665,118319,204971,315433,103304,204989,-34.05617384729786,-26.80317980760308,-32.98323348243392
CA-21,district,CA,21,178879,103959,65153,230879,137371,88586,201804,104262,92148,22.946922749420505,21.590391092110444,6.167710401710707
