code_2026,code_2024,pop_share
IL-11,IL-11,0.9835
IL-12,IL-12,0.9956
IL-13,IL-13,0.9941
IL-14,IL-14,0.995
IL-15,IL-15,0.9949
IL-16,IL-16,0.9857
IL-17,IL-17,0.9789
IN-01,IN-01,0.9974
IN-02,IN-02,0.9995
IN-03,IN-03,1.0
IN-04,IN-04,0.9993
IN-05,IN-05,0.9997
IN-06,IN-06,0.999
IN-07,IN-07,1.0
IN-08,IN-08,0.9999
IN-09,IN-09,0.9998
KS-01,KS-01,0.9976
KS-02,KS-02,0.9993
KS-03,KS-03,0.9995
KS-04,KS-04,0.9999
KY-01,KY-01,0.9991
KY-02,KY-02,0.9989
KY-03,KY-03,0.998
KY-04,KY-04,0.9998
KY-05,KY-05,0.9994
KY-06,KY-06,0.9993
LA-01,LA-01,0.8383
LA-02,LA-02,0.8171
LA-03,LA-03,0.8188
LA-04,LA-04,0.752
LA-05,LA-05,0.5683
LA-06,LA-05,0.4306
MA-01,MA-01,0.9999
MA-02,MA-02,0.9972
MA-03,MA-03,0.9971
MA-04,MA-04,0.9845
MA-05,MA-05,0.9512
MA-06,MA-06,0.9971
MA-07,MA-07,0.8791
MA-08,MA-08,0.9798
MA-09,MA-09,0.9961
MD-01,MD-01,0.9991
MD-02,MD-02,0.981
MD-03,MD-03,0.9962
MD-04,MD-04,0.9878
MD-05,MD-05,0.9909
MD-06,MD-06,0.9939
MD-07,MD-07,0.9894
MD-08,MD-08,0.9926
ME-01,ME-01,0.9971
ME-02,ME-02,0.9992
MI-01,MI-01,0.999
MI-02,MI-02,0.9931
MI-03,MI-03,0.9985
MI-04,MI-04,0.9988
MI-05,MI-05,0.9966
MI-06,MI-06,0.9982
MI-07,MI-07,0.9997
MI-08,MI-08,0.9999
MI-09,MI-09,0.9985
MI-10,MI-10,0.9979
MI-11,MI-11,1.0
MI-12,MI-12,0.9979
MI-13,MI-13,0.9839
MN-01,MN-01,1.0
MN-02,MN-02,1.0
MN-03,MN-03,0.9941
MN-04,MN-04,0.999
MN-05,MN-05,0.9891
MN-06,MN-06,0.9981
MN-07,MN-07,0.9992
MN-08,MN-08,0.999
MO-01,MO-01,0.9408
MO-02,MO-02,0.7697
MO-03,MO-03,0.6
MO-04,MO-04,0.623
MO-05,MO-05,0.4305
MO-06,MO-06,0.7958
MO-07,MO-07,1.0
MO-08,MO-08,0.9995
MS-01,MS-01,1.0
MS-02,MS-02,0.9975
MS-03,MS-03,0.9939
MS-04,MS-04,0.9993
MT-01,MT-01,1.0
MT-02,MT-02,1.0
NC-01,NC-01,0.6455
NC-02,NC-02,0.9949
NC-03,NC-03,0.635
NC-04,NC-04,0.9972
NC-05,NC-05,0.9982
NC-06,NC-06,0.9866
NC-07,NC-07,0.993
NC-08,NC-08,0.9921
NC-09,NC-09,0.9904
NC-10,NC-10,0.9918
NC-11,NC-11,0.9998
NC-12,NC-12,0.9951
NC-13,NC-13,0.9943
NC-14,NC-14,0.9932
ND-01,ND-01,0.9991
NE-01,NE-01,0.9984
NE-02,NE-02,0.9873
NE-03,NE-03,0.9999
NH-01,NH-01,0.9964
NH-02,NH-02,0.9954
NJ-01,NJ-01,0.9969
NJ-02,NJ-02,0.9975
NJ-03,NJ-03,0.9877
NJ-04,NJ-04,0.993
NJ-05,NJ-05,0.9846
NJ-06,NJ-06,0.9918
NJ-07,NJ-07,0.9784
NJ-08,NJ-08,0.943
NJ-09,NJ-09,0.9878
NJ-10,NJ-10,0.9684
NJ-11,NJ-11,0.9591
NJ-12,NJ-12,0.9785
NM-01,NM-01,0.997
NM-02,NM-02,0.9926
NM-03,NM-03,0.9992
NV-01,NV-01,0.9925
NV-02,NV-02,0.9999
NV-03,NV-03,0.9995
NV-04,NV-04,0.997
NY-01,NY-01,0.994
NY-02,NY-02,0.9959
NY-03,NY-03,0.9838
NY-04,NY-04,0.98
NY-05,NY-05,0.9742
NY-06,NY-06,0.991
NY-07,NY-07,0.9246
NY-08,NY-08,0.9975
NY-09,NY-09,0.9248
NY-10,NY-10,0.9556
NY-11,NY-11,0.9837
NY-12,NY-12,0.9552
NY-13,NY-13,0.9201
NY-14,NY-14,0.9617
NY-15,NY-15,0.9695
NY-16,NY-16,0.9698
NY-17,NY-17,0.9983
NY-18,NY-18,0.9981
NY-19,NY-19,0.999
NY-20,NY-20,0.9981
NY-21,NY-21,0.9971
NY-22,NY-22,0.9984
NY-23,NY-23,0.9996
NY-24,NY-24,0.9986
NY-25,NY-25,1.0
NY-26,NY-26,0.998
OH-01,OH-01,0.8581
OH-02,OH-02,0.8142
OH-03,OH-03,0.998
OH-04,OH-04,0.7218
OH-05,OH-05,0.7995
OH-06,OH-06,0.8192
OH-07,OH-07,0.9302
OH-08,OH-08,0.8297
OH-09,OH-09,0.8952
OH-10,OH-10,0.895
OH-11,OH-11,0.9841
OH-12,OH-12,0.8276
OH-13,OH-13,0.9238
OH-14,OH-14,0.932
OH-15,OH-15,0.8444
OK-01,OK-01,1.0
OK-02,OK-02,0.9987
OK-03,OK-03,0.9978
OK-04,OK-04,0.9989
OK-05,OK-05,0.9977
OR-01,OR-01,0.9998
OR-02,OR-02,0.9995
OR-03,OR-03,0.9897
OR-04,OR-04,0.9999
OR-05,OR-05,0.9931
OR-06,OR-06,0.9971
PA-01,PA-01,0.9874
PA-02,PA-02,0.9953
PA-03,PA-03,0.9925
PA-04,PA-04,0.9916
PA-05,PA-05,0.9532
PA-06,PA-06,0.9934
PA-07,PA-07,0.9995
PA-08,PA-08,0.9962
PA-09,PA-09,0.9985
PA-10,PA-10,0.9974
PA-11,PA-11,0.9993
PA-12,PA-12,0.9823
PA-13,PA-13,0.9994
PA-14,PA-14,0.9924
PA-15,PA-15,0.9948
PA-16,PA-16,0.9992
PA-17,PA-17,0.9788
RI-01,RI-01,0.9826
RI-02,RI-02,0.9929
SC-01,SC-01,0.9987
SC-02,SC-02,0.9929
SC-03,SC-03,0.9959
SC-04,SC-04,0.9976
SC-05,SC-05,0.9978
SC-06,SC-06,0.982
SC-07,SC-07,0.9997
SD-01,SD-01,1.0
TN-01,TN-01,0.9994
TN-02,TN-02,0.9978
TN-03,TN-03,0.9403
TN-04,TN-04,0.6819
TN-05,TN-09,0.3173
TN-06,TN-06,0.6106
TN-07,TN-07,0.5307
TN-08,TN-08,0.6137
TN-09,TN-09,0.3227
TX-01,TX-01,0.8476
TX-02,TX-02,0.8064
TX-03,TX-03,0.7611
TX-04,TX-04,0.6938
TX-05,TX-05,0.7325
TX-06,TX-06,0.6407
TX-07,TX-07,0.7266
TX-08,TX-08,0.6555
TX-09,TX-29,0.4395
TX-10,TX-10,0.575
TX-11,TX-11,0.7329
TX-12,TX-12,0.8167
TX-13,TX-13,0.9759
TX-14,TX-14,0.7519
TX-15,TX-15,0.4128
TX-16,TX-16,0.959
TX-17,TX-17,0.5368
TX-18,TX-09,0.6424
TX-19,TX-19,1.0
TX-20,TX-20,0.6034
TX-21,TX-21,0.7141
TX-22,TX-22,0.6522
TX-23,TX-23,0.8001
TX-24,TX-24,0.8691
TX-25,TX-25,0.5999
TX-26,TX-26,0.9279
TX-27,TX-27,0.3885
TX-28,TX-28,0.5307
TX-29,TX-18,0.5962
TX-30,TX-30,0.706
TX-31,TX-31,0.7268
TX-32,TX-32,0.404
TX-33,TX-33,0.3327
TX-34,TX-34,0.6104
TX-35,TX-28,0.4004
TX-36,TX-36,0.5992
TX-37,TX-37,0.6819
TX-38,TX-38,0.8144
UT-01,UT-02,0.391
UT-02,UT-01,0.846
UT-03,UT-03,0.4917
UT-04,UT-04,0.4782
VA-01,VA-01,0.9816
VA-02,VA-02,0.9956
VA-03,VA-03,0.9933
VA-04,VA-04,0.9917
VA-05,VA-05,0.9991
VA-06,VA-06,0.9977
VA-07,VA-07,0.9997
VA-08,VA-08,0.9902
VA-09,VA-09,0.9976
VA-10,VA-10,0.9985
VA-11,VA-11,0.9777
VT-01,VT-01,0.9994
WA-01,WA-01,0.9945
WA-02,WA-02,0.9664
WA-03,WA-03,0.9982
WA-04,WA-04,0.9999
WA-05,WA-05,1.0
WA-06,WA-06,0.9968
WA-07,WA-07,0.9987
WA-08,WA-08,0.9569
WA-09,WA-09,0.9828
WA-10,WA-10,0.9906
WI-01,WI-01,0.9945
WI-02,WI-02,0.9972
WI-03,WI-03,0.9996
WI-04,WI-04,0.9888
WI-05,WI-05,0.9908
WI-06,WI-06,0.9989
WI-07,WI-07,0.9964
WI-08,WI-08,0.9997
WV-01,WV-01,0.9989
WV-02,WV-02,0.9983
WY-01,WY-01,1.0
