race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-4.98,38.2,61.8,Lean R,-13.18,3.43,-13.8,8.81,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.66,20.42,5,21.239999999999995,0.194,46.75,51.65,1.6,110535,122128,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.99,1.4,98.6,Safe R,-29.63,3.43,-30.88,7.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-18.5,0.15,38.51,61.49,0.0,610559,975004,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-28.21,0.3,99.7,Safe R,-30.5,3.43,-31.57,3.35,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,35.89,64.11,0.0,301306,538151,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.17,72.2,27.8,Lean D,-4.25,3.43,-5.59,11.75,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.64,36.69,9,6.950000000000003,0.242,53.08,46.92,0.0,1259409,1113114,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.52,99.7,0.3,Safe D,23.32,3.43,20.82,7.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,64.26,35.74,0.0,7132036,3966508,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.44,96.9,3.1,Safe D,11.58,3.43,11.29,8.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.300000000000004,0.15,59.72,40.28,0.0,1334724,900197,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,16.6,94.4,5.6,Likely D,15.88,3.43,14.76,1.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,58.3,41.7,0.0,717733,513407,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.36,30.4,69.6,Lean R,-10.56,3.43,-13.22,7.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,35.32,36.97,10,-1.6499999999999986,0.25,47.32,52.68,0.0,3622426,4032400,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-4.39,33.7,66.3,Lean R,-1.71,3.43,-2.21,-2.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,47.81,52.19,0.0,1756937,1918109,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,29.89,99.8,0.2,Safe D,25.73,3.43,23.56,6.33,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,64.95,35.05,0.0,234909,126782,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,0.77,52.9,47.1,Toss-up,-12.1,3.43,-13.45,14.22,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,50.39,49.61,0.0,586725,577729,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-46.19,0.0,100.0,Safe R,-36.28,3.43,-37.52,-8.67,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,26.9,73.1,0.0,170447,463096,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.93,94.7,5.3,Likely D,12.91,3.43,11.14,5.79,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,58.46,41.54,0.0,2312082,1642655,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-15.54,6.9,93.1,Likely R,-16.26,3.43,-16.41,0.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,42.23,57.77,0.0,392442,536872,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.8,99.8,0.2,Safe D,27.69,3.43,25.91,4.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.76,27.56,4,27.2,0.175,65.4,34.6,0.0,1590189,841379,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,34.58,100.0,0.0,Safe D,30.41,3.43,29.51,5.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,29.04,2,20.29,0.15,67.29,32.71,0.0,1431185,695649,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,8.97,80.5,19.5,Likely D,7.49,3.43,7.09,1.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,54.49,45.51,0.0,317096,264866,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,9.21,81.1,18.9,Likely D,-0.36,3.43,-1.44,10.65,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.57,37.78,11,1.7899999999999991,0.257,54.61,45.39,0.0,2164779,1799483,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,8.3,78.6,21.4,Likely D,4.94,3.43,4.34,3.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.55,34.74,3,16.809999999999995,0.15,54.15,45.85,0.0,1233377,1044367,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-21.53,2.0,98.0,Safe R,-20.75,3.43,-20.84,-0.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,39.24,60.76,0.0,260146,402865,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-13.7,9.5,90.5,Likely R,3.66,3.43,2.82,-16.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,38.85,48.5,3,-9.649999999999999,0.15,43.15,56.85,0.0,249561,328772,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,6.75,74.1,25.9,Lean D,7.45,3.43,6.14,0.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,53.37,46.63,0.0,344994,301383,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.73,60.3,39.7,Lean D,-1.54,3.43,-3.15,5.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.8,43.69,3,-1.8900000000000006,0.15,51.36,48.64,0.0,533703,505365,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.11,89.5,10.5,Likely D,15.38,3.43,12.68,0.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.95,32.93,17,17.020000000000003,0.283,56.56,43.44,0.0,3287886,2525613,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-5.15,31.1,68.9,Lean R,-10.26,3.43,-11.31,6.17,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.92,44.48,9,4.440000000000005,0.242,47.43,52.57,0.0,1913942,2121570,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-33.34,0.1,99.9,Safe R,-34.68,3.43,-34.95,1.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,33.33,66.67,0.0,365381,730841,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,4.93,68.1,31.9,Lean D,15.34,3.43,14.89,-9.97,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.33,37.33,1,7.0,0.15,52.46,47.54,0.0,824608,747167,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,14.03,91.0,9.0,Likely D,-0.87,3.43,-1.75,15.78,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.64,35.32,4,18.32,0.175,57.01,42.99,0.0,2807083,2116535,0,0,4923617
RI-GOV,governor,RI,GOV,Dan McKee,Aaron Guckian,DEM,REP,DEM,DEM,20.41,97.4,2.6,Safe D,15.7,3.43,14.16,6.25,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,60.2,39.8,0.0,216337,143011,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Pamela Evette,DEM,REP,,REP,-13.91,9.2,90.8,Likely R,-16.63,3.43,-18.12,4.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,43.04,56.96,0.0,767755,1015943,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-28.55,0.3,99.7,Safe R,-29.31,3.43,-29.98,1.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,35.73,64.27,0.0,106633,191840,0,0,298473
TN-GOV,governor,TN,GOV,Carnita Atwater,Marsha Blackburn,DEM,REP,,REP,-22.0,1.8,98.2,Safe R,-28.63,3.43,-30.12,8.13,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,30.33,49.23,2,-18.9,0.15,39.0,61.0,0.0,836499,1308261,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-9.56,18.0,82.0,Likely R,-12.03,3.43,-13.88,4.32,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.29,49.58,5,-8.29,0.194,45.22,54.78,0.0,3610181,4372988,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-27.56,0.4,99.6,Safe R,33.5,3.43,32.77,-60.33,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.22,63.78,0.0,93667,164929,0,0,258595
WI-GOV,governor,WI,GOV,Mandela Barnes,Tom Tiffany,DEM,REP,,DEM,6.85,74.4,25.6,Lean D,-0.25,3.43,-0.87,7.73,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.8,43.46,2,1.3399999999999963,0.15,53.43,46.57,0.0,1280109,1115934,0,0,2396043
WY-GOV,governor,WY,GOV,Gabriel Green,Megan Degenfelder,DEM,REP,,REP,-41.97,0.0,100.0,Safe R,-46.63,3.43,-46.96,4.99,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,29.01,70.99,0.0,54643,133691,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-2.78,45.1,54.9,Toss-up,-10.98,3.43,-13.8,11.02,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,47.59,45.68,7,1.9100000000000037,0.223,47.83,50.57,1.6,113097,119566,3783,0,236446
AL-SEN,senate,AL,SEN,Dakarai Larriett,Barry Moore,DEM,REP,,REP,-24.25,1.0,99.0,Safe R,-27.66,3.43,-30.88,6.63,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,37.88,62.12,0.0,600545,985018,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.88,0.4,99.6,Safe R,-29.66,3.43,-31.57,3.69,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-22.0,0.15,36.06,63.94,0.0,302712,536745,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,20.59,97.6,2.4,Safe D,13.62,3.43,11.29,9.3,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,60.3,39.7,0.0,1347590,887332,0,0,2234922
