chamber,avg_dem_seats,avg_gop_seats,projected_dem_seats,dem_control_pct,needed,races
Senate,49.2,50.8,48,40.5,51,35
House,227.8,207.2,224,62.3,218,435
Governors,22.8,27.2,25,35.0,26,36
