race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-3.02,42.4,57.6,Toss-up,-13.18,3.67,-13.8,10.77,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.66,20.42,5,21.239999999999995,0.194,47.71,50.69,1.6,112815,119848,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.97,1.8,98.2,Safe R,-29.63,3.67,-30.88,8.91,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-18.5,0.15,39.01,60.99,0.0,618578,966985,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.95,0.5,99.5,Safe R,-30.5,3.67,-31.57,4.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.52,63.48,0.0,306594,532862,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.79,71.1,28.9,Lean D,-4.25,3.67,-5.59,11.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.64,36.69,9,6.950000000000003,0.242,52.9,47.1,0.0,1255005,1117518,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,26.99,99.5,0.5,Safe D,23.32,3.67,20.82,6.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,63.5,36.5,0.0,7047132,4051412,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.66,97.0,3.0,Safe D,11.58,3.67,11.29,8.36,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.300000000000004,0.15,59.83,40.17,0.0,1337099,897822,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,16.94,94.8,5.2,Likely D,15.88,3.67,14.76,2.19,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,58.47,41.53,0.0,719878,511262,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.93,28.5,71.5,Lean R,-10.56,3.67,-13.22,7.29,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,35.32,36.97,10,-1.6499999999999986,0.25,47.03,52.97,0.0,3600323,4054503,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-3.9,35.5,64.5,Lean R,-1.71,3.67,-2.21,-1.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,48.05,51.95,0.0,1765941,1909105,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.06,99.9,0.1,Safe D,25.73,3.67,23.56,7.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.53,34.47,0.0,237025,124666,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.27,62.3,37.7,Lean D,-12.1,3.67,-13.45,16.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,51.63,48.37,0.0,601253,563202,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.97,0.0,100.0,Safe R,-36.28,3.67,-37.52,-7.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.51,72.49,0.0,174311,459231,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,17.12,94.9,5.1,Likely D,12.91,3.67,11.14,5.99,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,58.56,41.44,0.0,2315948,1638789,0,0,3954737
