race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,37.0,41.0,0.0,,0.0,0.0,1,0.3618
AK-GOV,38.0,16.0,0.0,,0.0,21.0,1,0.3536
AK-SEN,51.2,47.29,0.0,,0.0,0.0,7,0.1856
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0442
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.3376
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0426
AZ-06,46.66,43.8,0.0,,0.0,0.0,2,0.3731
AZ-GOV,43.33,37.08,0.0,,0.0,0.0,8,0.0807
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.0047
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.691
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0351
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0052
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.63
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.6156
FL-GOV,35.05,39.25,2.82,IND,0.0,0.0,7,0.1751
FL-SEN,38.0,46.0,0.0,,0.0,0.0,1,0.5484
GA-SEN,47.68,43.29,0.0,,0.0,0.0,6,0.0812
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0015
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.7236
IA-SEN,42.64,46.46,0.0,,0.0,0.0,2,0.4653
ID-SEN,34.0,48.0,0.0,,0.0,0.0,1,0.7756
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.057
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.2558
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.1015
MA-GOV,54.9,26.78,0.0,,0.0,0.0,2,0.2141
MA-SEN,55.41,27.95,0.0,,0.0,0.0,4,0.1728
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.1539
ME-02,46.0,47.0,0.0,,0.0,0.0,1,0.3969
ME-SEN,49.0,41.0,0.0,,0.0,0.0,1,0.0422
MI-04,42.0,47.43,0.0,,0.0,0.0,2,0.3884
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.1984
MI-GOV,33.59,29.83,17.52,IND,0.0,0.0,11,0.1941
MI-SEN,41.98,43.36,0.0,,0.0,0.0,5,0.095
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.5088
MN-GOV,50.34,36.36,0.0,,0.0,0.0,2,0.2989
MN-SEN,47.1,40.61,0.0,,0.0,0.0,3,0.1116
NC-01,42.0,39.0,9.0,LIB,0.0,0.0,1,0.2872
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.691
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.691
NC-SEN,48.13,36.55,2.42,LIB,0.0,0.0,12,0.2609
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0272
NE-SEN,47.0,48.0,0.0,,0.0,0.0,2,0.154
NH-02,48.94,36.84,0.0,,0.0,0.0,5,0.2146
NH-GOV,39.0,46.0,0.0,,0.0,0.0,1,0.7937
NH-SEN,45.7,43.34,0.0,,0.0,0.0,12,0.2058
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0008
NV-GOV,39.0,40.23,0.0,,0.0,0.0,4,0.2961
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0844
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.4061
NY-17,44.0,39.0,0.0,,0.0,0.0,1,0.4061
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.4061
NY-GOV,50.24,33.9,1.08,LIB,0.0,0.0,11,0.3728
OH-GOV,49.2,44.21,0.0,,0.0,0.0,10,0.1383
OH-SEN,47.21,47.02,0.0,,0.0,0.0,8,0.2396
OR-GOV,45.0,40.0,0.0,,0.0,0.0,1,0.3008
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.4456
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0075
PA-10,47.91,43.95,0.0,,0.0,0.0,2,0.0266
PA-GOV,53.58,35.25,0.0,,0.0,0.0,4,0.2583
SD-SEN,34.53,46.64,0.0,,0.0,0.0,3,0.1549
TN-GOV,28.0,49.0,0.0,,0.0,0.0,1,0.0046
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0103
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.6752
TX-GOV,41.94,49.19,1.21,LIB,0.0,0.0,4,0.3002
TX-SEN,45.03,44.84,1.82,LIB,0.0,0.0,7,0.2704
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.3479
WI-01,41.0,50.0,0.0,,0.0,0.0,1,0.7579
WI-03,48.71,47.65,0.0,,0.0,0.0,2,0.2144
WI-GOV,40.71,39.42,0.0,,0.0,0.0,1,0.8123
