race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-9.74,32.0,68.0,Lean R,-13.18,3.31,-13.8,4.06,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.41,53.99,1.6,105001,127662,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-22.24,1.7,98.3,Safe R,-29.63,3.31,-30.88,8.64,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,38.88,61.12,0.0,616485,969078,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.82,0.4,99.6,Safe R,-30.5,3.31,-31.57,3.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.09,63.91,0.0,302943,536514,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.57,70.3,29.7,Lean D,-4.25,3.31,-5.59,11.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.26,37.22,9,6.04,0.242,0,0,0,52.79,47.21,0.0,1252389,1120134,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.52,99.6,0.4,Safe D,23.32,3.31,20.82,6.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,63.76,36.24,0.0,7076543,4022001,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.34,96.8,3.2,Safe D,11.58,3.31,11.29,8.05,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.67,40.33,0.0,1333585,901337,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.07,95.8,4.2,Safe D,15.88,3.31,14.76,3.31,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.04,40.96,0.0,726825,504315,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.55,26.5,73.5,Lean R,-10.56,3.31,-13.22,6.67,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,35.1,39.33,7,-4.25,0.223,0,0,0,46.72,53.28,0.0,3576660,4078166,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.48,55.6,44.4,Toss-up,-1.71,3.31,-2.21,3.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.74,49.26,0.0,1864677,1810369,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.24,99.8,0.2,Safe D,25.73,3.31,23.56,6.68,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.12,34.88,0.0,235542,126149,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.36,55.2,44.8,Toss-up,-12.1,3.31,-13.45,14.81,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.68,49.32,0.0,590160,574294,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.82,0.0,100.0,Safe R,-36.28,3.31,-37.52,-8.3,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,27.09,72.91,0.0,171619,461924,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,16.82,94.6,5.4,Likely D,12.91,3.31,11.14,5.68,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,0,0,0,58.41,41.59,0.0,2309897,1644840,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-13.38,10.0,90.0,Likely R,-16.26,3.31,-16.41,3.03,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,43.31,56.69,0.0,402463,526851,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.24,99.9,0.1,Safe D,27.69,3.31,25.91,5.33,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.9,26.78,2,28.12,0.15,0,0,0,65.62,34.38,0.0,1595568,836000,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,34.79,100.0,0.0,Safe D,30.41,3.31,29.51,5.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,28.0,1,21.9,0.15,0,0,0,67.4,32.6,0.0,1433391,693443,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,9.83,82.7,17.3,Likely D,7.49,3.31,7.09,2.75,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,0,0,0,54.92,45.08,0.0,319599,262364,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,9.42,81.6,18.4,Likely D,-0.36,3.31,-1.44,10.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,39.28,11,1.1,0.257,0,0,0,54.71,45.29,0.0,2168783,1795479,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Kendall Qualls,DEM,REP,,DEM,7.41,76.1,23.9,Likely D,4.94,3.31,4.34,3.06,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,53.7,46.3,0.0,1223217,1054527,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-21.17,2.1,97.9,Safe R,-20.75,3.31,-20.84,-0.33,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,39.42,60.58,0.0,261340,401671,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.63,13.3,86.7,Likely R,3.66,3.31,2.82,-14.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,43.0,1,0.0,0.15,0,0,0,44.19,55.81,0.0,255541,322792,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,5.5,70.0,30.0,Lean D,7.45,3.31,6.14,-0.65,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,52.75,47.25,0.0,340955,305423,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.03,57.7,42.3,Toss-up,-1.54,3.31,-3.15,5.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,41.81,43.7,3,-3.54,0.15,0,0,0,51.01,48.99,0.0,530077,508991,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,12.75,88.9,11.1,Likely D,15.38,3.31,12.68,0.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.17,32.7,8,17.47,0.233,0,0,0,56.38,43.62,0.0,3277441,2536057,0,0,5813499
