race_code,round,dem,rep,other,exhausted,eliminated
AK-GOV,1,42.82,49.18,8.0,0.0,
AK-GOV,2,46.18,52.22,0.0,1.6,Other
AK-SEN,1,43.98,48.02,8.0,0.0,
AK-SEN,2,47.34,51.06,0.0,1.6,Other
ME-SEN,1,45.96,49.04,5.0,0.0,
ME-SEN,2,48.06,50.94,0.0,1.0,Other
AK-01,1,44.07,47.93,8.0,0.0,
AK-01,2,47.43,50.97,0.0,1.6,Other
ME-01,1,59.71,35.29,5.0,0.0,
ME-01,2,61.81,37.19,0.0,1.0,Other
ME-02,1,48.47,46.53,5.0,0.0,
ME-02,2,50.57,48.43,0.0,1.0,Other
