code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.24,-12.06,-2.12,-13.8,47.4,49.4,-2.0,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.24,-32.7,-1.12,-36.34,57.5,39.2,18.3,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.24,-10.36,-0.57,-14.46,48.4,48.3,0.1,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.24,-43.56,-1.22,-47.04,62.1,34.7,27.4,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.24,-63.87,-1.34,-66.99,70.3,26.4,44.0,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.24,-27.12,-1.12,-29.51,54.9,41.8,13.1,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.24,-32.6,-1.09,-34.79,57.4,39.4,18.0,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.24,22.36,-0.24,17.99,34.8,62.0,-27.2,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.24,-42.76,-1.35,-46.4,61.7,35.1,26.6,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.24,-13.23,-1.05,-16.22,49.1,47.6,1.4,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.24,-23.03,-0.69,-25.81,52.5,44.2,8.2,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.24,-36.76,-0.97,-40.73,59.1,37.6,21.4,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.24,0.42,-0.6,-3.14,42.6,54.1,-11.5,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.24,-11.54,-1.34,-15.12,47.1,49.7,-2.6,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
