race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-3.63,42.4,57.6,Toss-up,-12.12,3.28,-5.57,0.21,4.11,-1.06,-13.8,10.17,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,47.65,45.85,7,0.9,0.223,8661662,6500847,0,47.41,50.99,1.6,112108,120555,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-26.15,0.6,99.4,Safe R,-27.48,3.28,-26.15,-2.4,0.93,-0.48,-30.88,4.73,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,36.93,63.07,0.0,585494,1000069,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.81,0.4,99.6,Safe R,-29.57,3.28,-29.37,-0.9,-1.67,-0.51,-31.57,3.75,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,36.09,63.91,0.0,302989,536467,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,23.73,98.8,1.2,Safe D,13.59,3.28,23.73,3.32,3.55,-0.01,11.29,12.44,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,61.87,38.13,0.0,1382675,852247,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,23.11,98.6,1.4,Safe D,15.61,3.28,23.11,2.84,1.67,-0.28,14.84,8.27,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.56,38.44,0.0,220092,137451,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-6.71,26.1,73.9,Lean R,-8.81,3.28,-6.71,-0.02,-1.67,0.51,-13.22,6.51,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,8188392,8407064,0,46.64,53.36,0.0,3570569,4084258,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,9.56,82.0,18.0,Likely D,-0.8,3.28,10.97,1.88,6.73,-0.12,-2.21,11.77,False,False,,,0.0,0.0,,,0.0,confirmed,projected,39.54,38.81,5,3.73,0.194,60439613,4880582,0,54.78,45.22,0.0,2013226,1661820,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-3.41,37.2,62.8,Lean R,-8.4,3.28,-3.58,3.19,-0.93,-0.71,-13.45,10.03,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,41.0,44.0,1,-6.0,0.15,3463099,0,0,47.02,50.35,2.63,547560,586270,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-41.47,0.0,100.0,Safe R,-38.36,3.28,-41.47,-2.93,-2.97,-0.49,-37.52,-3.95,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.26,70.74,0.0,185403,448140,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.14,95.9,4.1,Safe D,14.33,3.28,18.14,0.53,0.0,0.0,11.14,7.0,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,59.07,40.93,0.0,2336071,1618666,0,0,3954737
