race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,50.51,44.93,0.0,,0.0,3.84,9,0.1388
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.1403
FL-SEN,39.77,45.88,0.0,,0.0,0.0,6,0.463
GA-SEN,48.54,43.48,0.0,,0.0,0.0,7,0.1116
IA-SEN,44.41,45.69,0.0,,0.0,0.0,3,0.3117
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.1063
KY-SEN,37.0,49.5,0.0,,0.0,0.0,1,0.0422
MA-SEN,55.1,30.99,0.0,,0.0,0.0,5,0.1989
ME-SEN,47.81,40.77,0.0,,0.0,0.0,13,0.19
MI-SEN,40.64,44.18,0.0,,0.0,0.0,6,0.1848
MN-SEN,46.0,44.0,0.0,,0.0,0.0,1,0.0048
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.5878
NC-SEN,49.32,39.68,0.66,LIB,0.0,0.0,16,0.2548
NH-SEN,48.95,38.67,0.0,,0.0,0.0,11,0.1371
OH-SEN,47.04,49.19,0.0,,0.0,0.0,10,0.1961
SC-SEN,40.74,45.46,0.0,,0.0,0.0,2,0.0893
SD-SEN,31.79,49.32,0.0,,0.0,0.0,2,0.0958
TX-SEN,43.32,37.33,0.25,LIB,0.0,0.0,10,0.2204
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0184
AZ-GOV,45.18,36.48,0.0,,0.0,0.0,10,0.1665
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0021
FL-GOV,39.52,43.95,0.3,IND,0.0,0.0,11,0.2211
GA-GOV,49.0,43.0,0.0,,0.0,0.0,1,0.5484
IA-GOV,50.0,41.0,0.0,,0.0,0.0,1,0.8507
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0237
MA-GOV,52.67,30.79,0.0,,0.0,0.0,3,0.295
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.064
MI-GOV,34.69,29.88,19.18,IND,0.0,0.0,14,0.1428
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.5236
NH-GOV,39.0,46.65,0.0,,0.0,0.0,3,0.3542
NV-GOV,39.0,40.23,0.0,,0.0,0.0,4,0.1231
NY-GOV,49.87,33.71,0.64,OTH,0.0,0.0,12,0.2077
OH-GOV,47.06,46.99,0.0,,0.0,0.0,12,0.1449
OR-GOV,45.0,40.0,0.0,,0.0,0.0,1,0.125
PA-GOV,54.74,35.45,0.0,,0.0,0.0,5,0.171
RI-GOV,28.0,15.0,20.0,IND,0.0,0.0,1,0.6447
TN-GOV,32.0,51.0,0.0,,0.0,0.0,1,0.0017
TX-GOV,39.66,45.7,0.22,LIB,0.0,0.0,7,0.2738
WI-GOV,44.24,40.63,0.0,,0.0,0.0,4,0.2611
AK-01,38.0,48.0,0.0,,0.0,0.0,1,0.0015
AZ-01,43.47,41.41,0.0,,0.0,0.0,2,0.0177
AZ-06,43.0,42.0,0.0,,0.0,0.0,1,0.3008
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.002
CO-03,39.0,46.67,0.0,,0.0,0.0,2,0.2159
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0146
FL-27,34.0,45.0,0.0,,0.0,0.0,1,0.0015
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.2558
IA-01,42.5,42.0,0.0,,0.0,0.0,1,0.0006
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.6156
IA-03,43.03,45.59,0.0,,0.0,0.0,2,0.1566
KY-06,37.0,37.0,0.0,,0.0,0.0,1,0.7937
ME-02,41.93,48.48,0.0,,0.0,0.0,2,0.6221
MI-04,42.0,45.38,0.0,,0.0,0.0,2,0.2079
MI-07,45.98,44.93,0.0,,0.0,0.0,2,0.4032
MN-01,41.0,46.96,0.0,,0.0,0.0,2,0.2412
MT-01,43.0,48.0,0.0,,0.0,0.0,1,1.0
NC-01,41.65,43.42,0.68,LIB,0.0,0.0,2,0.495
NC-10,37.5,51.5,0.0,,0.0,0.0,1,0.2872
NC-14,39.0,47.5,0.0,,0.0,0.0,1,0.2872
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0113
NH-02,48.94,36.84,0.0,,0.0,0.0,5,0.0892
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0003
NM-02,44.0,43.0,0.0,,0.0,0.0,1,0.8507
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0351
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.1688
NY-17,44.0,39.0,0.0,,0.0,0.0,1,0.1688
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.1688
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.7071
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.1852
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.26
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0043
TX-23,42.5,44.5,0.0,,0.0,0.0,1,0.2806
TX-34,42.0,44.5,0.0,,0.0,0.0,1,0.8706
VA-01,43.01,44.0,0.0,,0.0,0.0,2,0.1446
WA-03,45.0,44.0,0.0,,0.0,0.0,1,0.8706
WI-01,42.5,46.0,0.0,,0.0,0.0,1,0.315
WI-03,48.47,47.37,0.0,,0.0,0.0,2,0.0891
