code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,4.34,-10.96,-2.12,-13.8,45.4,51.3,-6.0,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,4.34,-31.6,-1.12,-36.34,55.5,41.2,14.4,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,4.34,-9.26,-0.57,-14.46,46.4,50.3,-3.9,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,4.34,-42.46,-1.22,-47.04,60.1,36.6,23.5,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,4.34,-62.77,-1.34,-66.99,68.4,28.4,40.0,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,4.34,-26.02,-1.12,-29.51,52.9,43.8,9.1,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,4.34,-31.5,-1.09,-34.79,55.4,41.4,14.0,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,4.34,23.46,-0.24,17.99,32.8,64.0,-31.2,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,4.34,-41.66,-1.35,-46.4,59.7,37.0,22.6,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,4.34,-12.13,-1.05,-16.22,47.1,49.6,-2.5,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,4.34,-21.93,-0.69,-25.81,50.5,46.2,4.3,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,4.34,-35.66,-0.97,-40.73,57.1,39.6,17.5,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,4.34,1.52,-0.6,-3.14,40.6,56.1,-15.5,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,4.34,-10.44,-1.34,-15.12,45.1,51.6,-6.6,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,4.34,51.8,4.21,40.31,18.4,78.3,-59.9,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,4.34,12.11,0.41,6.76,35.9,60.9,-25.0,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,4.34,-15.59,-0.39,-20.19,47.8,48.9,-1.1,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,4.34,3.93,0.21,-0.76,39.5,57.3,-17.8,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,4.34,33.38,3.72,22.39,26.1,70.6,-44.5,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,4.34,-11.75,-0.09,-16.48,46.2,50.5,-4.3,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,4.34,-25.17,0.71,-31.34,51.8,45.0,6.8,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,4.34,18.53,0.23,12.63,33.1,63.7,-30.6,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,4.34,29.92,-0.85,25.45,28.4,68.3,-39.9,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,4.34,15.48,-0.26,10.55,34.4,62.3,-27.9,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,4.34,21.89,0.78,14.96,31.4,65.4,-34.0,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,4.34,-14.85,0.55,-21.2,47.2,49.6,-2.4,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,4.34,14.29,0.12,8.67,34.8,61.9,-27.1,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,4.34,19.73,0.27,13.26,32.2,64.5,-32.2,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,4.34,43.12,1.17,35.19,22.3,74.4,-52.1,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,4.34,21.56,1.74,11.8,31.2,65.5,-34.3,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,4.34,40.24,-0.14,34.75,23.5,73.2,-49.7,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,4.34,76.32,-0.62,70.62,7.9,88.8,-80.9,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,4.34,84.23,0.52,77.64,4.9,91.8,-86.8,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,4.34,13.47,4.17,0.51,34.3,62.4,-28.1,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,4.34,43.65,0.24,36.2,21.3,75.5,-54.2,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,4.34,57.08,0.52,49.64,15.6,81.2,-65.6,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,4.34,55.67,-0.21,49.91,16.6,80.2,-63.6,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,4.34,47.45,-0.5,40.75,19.2,77.5,-58.2,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,4.34,41.79,4.15,29.37,22.1,74.6,-52.5,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,4.34,41.76,0.21,35.64,22.8,74.0,-51.2,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,4.34,-26.03,1.47,-32.98,51.7,45.0,6.8,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,4.34,18.45,4.17,6.17,32.2,64.5,-32.3,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,4.34,12.59,5.29,-1.86,34.6,62.1,-27.5,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,4.34,-11.82,2.13,-19.9,45.8,50.9,-5.1,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,4.34,32.58,1.45,25.76,26.8,69.9,-43.1,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,4.34,16.95,3.85,5.97,33.1,63.6,-30.5,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,4.34,23.79,1.9,15.73,30.4,66.3,-35.9,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,4.34,19.47,2.57,10.06,32.3,64.4,-32.1,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,4.34,33.22,0.61,26.17,25.7,71.1,-45.4,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,4.34,48.03,4.18,34.71,19.7,77.0,-57.4,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,4.34,48.06,0.31,41.41,20.4,76.4,-56.0,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,4.34,23.93,3.44,12.61,29.7,67.1,-37.4,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,4.34,33.09,0.41,25.76,26.7,70.0,-43.3,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,4.34,22.83,4.1,10.12,30.6,66.1,-35.5,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,4.34,65.73,4.28,53.04,11.8,85.0,-73.2,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,4.34,20.36,3.78,8.0,31.4,65.3,-34.0,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,4.34,45.95,-0.38,40.42,21.2,75.5,-54.3,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,4.34,74.26,3.8,62.31,9.3,87.5,-78.2,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,4.34,25.21,3.74,12.8,28.8,68.0,-39.2,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,4.34,22.65,4.21,9.85,30.7,66.1,-35.4,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,4.34,-6.32,1.04,-12.6,43.4,53.4,-10.0,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,4.34,26.13,3.96,14.61,28.9,67.8,-38.9,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,4.34,20.61,1.02,13.57,31.9,64.8,-32.9,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
CA-43,district,CA,54.96,4.34,63.52,4.22,50.59,13.7,83.0,-69.3,-4.9,7.6,26.3,51.9,10.1,3.4,0.7
CA-44,district,CA,41.6,4.34,51.07,5.13,36.32,18.3,78.5,-60.2,-7.1,8.9,10.6,64.7,10.8,3.9,1.1
