race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-3.83,42.5,57.5,Toss-up,-12.38,3.04,-6.07,0.21,4.11,-1.06,-13.8,9.97,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,45.19,43.12,5,1.38,0.194,8661662,6500847,0,47.32,51.08,1.6,111881,120782,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-26.44,0.6,99.4,Safe R,-27.53,3.04,-26.44,-2.4,0.93,-0.48,-30.88,4.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,36.78,63.22,0.0,583175,1002388,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-29.67,0.2,99.8,Safe R,-29.63,3.04,-29.67,-0.9,-1.67,-0.51,-31.57,1.9,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,1589764,5406040,0,35.17,64.83,0.0,295202,544254,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,23.44,98.7,1.3,Safe D,13.54,3.04,23.44,3.32,3.55,-0.01,11.29,12.15,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,61.72,38.28,0.0,1379434,855488,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,22.87,98.6,1.4,Safe D,15.61,3.04,22.87,2.84,1.67,-0.28,14.84,8.03,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.44,38.56,0.0,219663,137880,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-7.39,24.0,76.0,Likely R,-9.25,3.04,-7.39,-0.02,-1.67,0.51,-13.22,5.83,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,8188392,8407064,0,46.31,53.69,0.0,3544638,4110188,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,9.32,81.3,18.7,Likely D,-0.86,3.04,10.67,1.88,6.73,-0.12,-2.21,11.53,False,False,,,0.0,0.0,,,0.0,confirmed,projected,39.54,38.81,5,3.73,0.194,60439613,4880582,0,54.66,45.34,0.0,2008786,1666261,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-3.35,37.5,62.5,Lean R,-8.46,3.04,-3.88,3.19,-0.93,-0.71,-13.45,10.1,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,3463099,0,0,47.05,50.32,2.63,547920,585909,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-41.77,0.0,100.0,Safe R,-38.42,3.04,-41.77,-2.93,-2.97,-0.49,-37.52,-4.25,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.11,70.89,0.0,184453,449090,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,17.85,95.6,4.4,Safe D,14.27,3.04,17.85,0.53,0.0,0.0,11.14,6.71,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,58.92,41.08,0.0,2330287,1624449,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-17.21,5.0,95.0,Likely R,-15.57,3.04,-17.21,-3.16,-1.09,-0.43,-16.41,-0.8,False,False,,,0.0,0.0,,,0.0,projected,confirmed,,,0,,0.0,0,3331963,0,41.39,58.61,0.0,384679,544635,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-31.76,0.1,99.9,Safe R,-30.03,3.04,-34.63,-2.04,-4.86,-0.75,-31.03,-0.74,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.0,49.5,1,-15.5,0.15,508684,8403849,0,34.12,65.88,0.0,495455,956714,0,0,1452169
LA-SEN,senate,LA,SEN,Gary Crockett,Julia Letlow,DEM,REP,,REP,-27.62,0.4,99.6,Safe R,-21.33,3.04,-27.62,-1.95,-7.1,-0.28,-22.36,-5.26,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,350000,5356520,0,36.19,63.81,0.0,508413,896470,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.3,99.9,0.1,Safe D,28.85,3.04,33.95,0.73,1.67,-0.34,25.91,6.39,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,53.92,30.95,2,22.96,0.15,3804689,1400141,0,66.15,33.85,0.0,1608487,823081,0,0,2431568
ME-SEN,senate,ME,SEN,Graham Platner,Susan Collins,DEM,REP,REP,REP,-1.82,47.7,52.3,Toss-up,8.11,3.04,-3.15,0.22,-13.55,-0.97,7.09,-8.91,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,44.86,42.88,5,1.63,0.194,16312222,12165046,0,48.6,50.4,1.0,282820,293323,5820,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,3.17,61.9,38.1,Lean D,2.1,3.04,4.94,-0.0,0.44,-0.63,-1.44,4.61,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,35.57,42.44,3,-6.87,0.15,7646728,7676445,0,51.59,48.41,0.0,2045014,1919248,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Adam Schwarze,DEM,REP,,DEM,7.51,76.3,23.7,Likely D,5.63,3.04,9.01,1.05,0.0,-0.72,4.34,3.16,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,46.0,44.0,1,-1.0,0.15,4646309,1102851,0,53.75,46.25,0.0,1224354,1053390,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-16.75,5.5,94.5,Likely R,-21.5,3.04,-16.75,-0.54,2.62,-0.37,-23.15,6.4,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,1619368,3394175,0,41.63,58.37,0.0,357812,501793,0,0,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-25.14,0.4,87.9,Safe R,-19.79,3.04,-19.87,-2.11,0.0,-1.01,-20.58,-4.56,False,True,IND,Seth Bodnar,29.01,11.7,,,0.0,projected,confirmed,,,0,,0.0,23884,1184127,2113231,13.19,54.14,3.66,55686,228515,15448,122425,422074
NC-SEN,senate,NC,SEN,Roy Cooper,Michael Whatley,DEM,REP,,REP,3.19,62.0,38.0,Lean D,-2.64,3.04,2.86,0.87,1.9,-0.3,-3.27,6.46,False,False,GRN,,0.0,0.0,,,0.0,confirmed,confirmed,46.94,40.06,6,6.65,0.21,26822373,8410252,0,50.63,47.5,1.87,2018897,1894004,74566,0,3987467
NE-SEN,senate,NE,SEN,(no Democrat — backs Osborn),Pete Ricketts,DEM,REP,REP,REP,-10.59,31.5,68.5,Lean R,-20.9,3.04,-23.4,-3.44,-1.62,-0.48,-20.84,10.25,False,True,IND,Dan Osborn,44.71,31.5,,,0.0,,confirmed,,,0,,0.0,0,4866649,3856315,0.0,55.29,0.0,0,366606,0,296405,663011
NH-SEN,senate,NH,SEN,Chris Pappas,Scott Brown,DEM,REP,,DEM,8.84,80.1,19.9,Likely D,-0.01,3.04,7.69,1.32,4.2,-0.86,2.82,6.02,False,False,,,0.0,0.0,,,0.0,presumptive,projected,46.59,33.84,7,12.85,0.223,9860676,1664338,0,54.42,45.58,0.0,314724,263609,0,0,578332
NJ-SEN,senate,NJ,SEN,Cory Booker,Justin Murphy,DEM,REP,DEM,DEM,17.44,95.2,4.8,Safe D,8.13,3.04,17.44,4.2,1.88,0.19,5.63,11.82,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,17623907,15454,0,58.72,41.28,0.0,1710942,1202744,0,0,2913686
NM-SEN,senate,NM,SEN,Ben Ray Lujan,Larry Marker,DEM,REP,DEM,DEM,16.14,93.8,6.2,Likely D,7.22,3.04,16.14,3.09,1.67,1.12,6.14,10.0,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,5019140,32400,0,58.07,41.93,0.0,375351,271026,0,0,646377
OH-SEN,senate,OH,SEN,Sherrod Brown,Jon Husted,DEM,REP,REP,REP,-3.85,35.7,64.3,Lean R,-8.98,3.04,-4.56,0.68,1.39,-0.69,-11.31,7.46,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,46.28,48.8,5,-2.52,0.194,25979968,10527814,0,47.32,51.11,1.57,1909561,2062593,63358,0,4035512
OK-SEN,senate,OK,SEN,Jim Priest,Kevin Hern,DEM,REP,,REP,-37.19,0.0,100.0,Safe R,-34.2,3.04,-37.19,-2.55,-2.78,-0.7,-34.95,-2.24,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,263329,9295139,0,31.41,68.59,0.0,344285,751938,0,0,1096222
OR-SEN,senate,OR,SEN,Jeff Merkley,David Brock Smith,DEM,REP,DEM,DEM,19.8,97.1,2.9,Safe D,12.77,3.04,19.8,2.78,1.67,-0.46,14.89,4.91,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,3944598,48166,0,59.9,40.1,0.0,941485,630289,0,0,1571774
