code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.72,-10.52,-1.06,-13.8,46.2,50.1,-3.9,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.72,-31.66,-0.56,-36.34,56.4,40.0,16.4,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.72,-9.59,-0.28,-14.46,47.2,49.1,-1.9,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.72,-42.47,-0.61,-47.04,60.9,35.4,25.5,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.72,-62.72,-0.67,-66.99,69.2,27.2,42.0,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.72,-26.08,-0.56,-29.51,53.7,42.6,11.1,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.72,-31.58,-0.54,-34.79,56.2,40.2,16.0,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.72,22.96,-0.12,17.99,33.6,62.8,-29.2,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.72,-41.61,-0.68,-46.4,60.5,35.8,24.7,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.72,-12.22,-0.52,-16.22,47.9,48.4,-0.5,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.72,-22.21,-0.34,-25.81,51.3,45.0,6.3,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.72,-35.79,-0.49,-40.73,57.9,38.4,19.5,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.72,1.2,-0.3,-3.14,41.4,54.9,-13.5,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.72,-10.39,-0.67,-15.12,45.9,50.4,-4.5,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.72,49.08,2.1,40.31,19.2,77.1,-57.9,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.72,11.28,0.21,6.76,36.7,59.7,-23.0,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.72,-16.02,-0.2,-20.19,48.6,47.7,0.9,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.72,3.21,0.11,-0.76,40.3,56.1,-15.8,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.72,30.89,1.86,22.39,26.9,69.4,-42.5,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.72,-12.33,-0.05,-16.48,47.0,49.3,-2.3,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.72,-26.14,0.35,-31.34,52.6,43.8,8.8,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.72,17.8,0.11,12.63,33.9,62.5,-28.6,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.72,29.72,-0.42,25.45,29.2,67.1,-37.9,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.72,14.99,-0.13,10.55,35.2,61.1,-25.9,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.72,20.88,0.39,14.96,32.2,64.2,-32.0,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.72,-15.75,0.28,-21.2,48.0,48.4,-0.4,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.72,13.61,0.06,8.67,35.6,60.7,-25.1,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.72,18.97,0.13,13.26,33.1,63.3,-30.2,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,3.72,41.92,0.58,35.19,23.1,73.2,-50.1,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,3.72,20.07,0.87,11.8,32.1,64.3,-32.2,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,3.72,39.69,-0.07,34.75,24.3,72.0,-47.7,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,3.72,76.01,-0.31,70.62,8.7,87.6,-78.9,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,3.72,83.35,0.26,77.64,5.8,90.6,-84.8,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
CA-13,district,CA,4.96,3.72,10.76,2.08,0.51,35.1,61.2,-26.1,-6.2,23.3,4.6,57.9,8.5,4.9,0.8
CA-14,district,CA,39.07,3.72,42.91,0.12,36.2,22.1,74.3,-52.2,-3.3,26.4,5.8,21.2,42.5,2.4,1.8
CA-15,district,CA,52.23,3.72,56.2,0.26,49.64,16.4,80.0,-63.6,-3.5,29.6,3.6,24.2,38.8,2.1,1.7
CA-16,district,CA,51.53,3.72,55.15,-0.1,49.91,17.4,79.0,-61.6,-2.1,44.7,2.7,17.9,32.0,2.0,0.7
CA-17,district,CA,43.61,3.72,47.08,-0.25,40.75,20.1,76.3,-56.2,-3.5,23.0,2.8,15.6,56.2,1.7,0.8
CA-18,district,CA,33.3,3.72,39.1,2.08,29.37,22.9,73.4,-50.5,-6.5,21.0,2.8,58.3,12.6,4.6,0.7
CA-19,district,CA,37.22,3.72,41.04,0.1,35.64,23.6,72.8,-49.2,-1.9,50.8,3.2,21.6,20.6,3.0,0.8
CA-20,district,CA,-31.84,3.72,-27.38,0.73,-32.98,52.6,43.8,8.8,-2.6,50.4,4.1,33.2,7.5,4.4,0.5
CA-21,district,CA,9.94,3.72,15.74,2.08,6.17,33.0,63.3,-30.3,-6.2,21.9,5.6,57.5,10.5,4.2,0.4
CA-22,district,CA,2.96,3.72,9.33,2.65,-1.86,35.5,60.9,-25.4,-7.2,16.5,5.9,67.5,5.9,3.9,0.3
CA-23,district,CA,-18.3,3.72,-13.51,1.07,-19.9,46.6,49.7,-3.1,-3.0,42.3,9.5,37.7,5.5,4.3,0.7
CA-24,district,CA,26.79,3.72,31.24,0.73,25.76,27.6,68.7,-41.1,-2.6,52.8,2.5,33.2,7.2,3.7,0.5
CA-25,district,CA,8.76,3.72,14.4,1.92,5.97,33.9,62.4,-28.5,-5.3,32.3,4.6,54.6,4.4,3.8,0.4
CA-26,district,CA,17.54,3.72,22.21,0.95,15.73,31.2,65.1,-33.9,-3.3,45.5,3.2,37.1,10.5,3.3,0.5
CA-27,district,CA,12.56,3.72,17.57,1.29,10.06,33.1,63.2,-30.1,-3.8,33.3,11.0,41.1,10.9,3.3,0.5
CA-28,district,CA,28.27,3.72,32.29,0.3,26.17,26.5,69.9,-43.4,-3.6,27.5,4.9,25.1,39.9,2.3,0.4
CA-29,district,CA,39.51,3.72,45.32,2.09,34.71,20.5,75.8,-55.3,-6.1,24.2,5.1,57.5,9.3,3.5,0.3
CA-30,district,CA,43.42,3.72,47.29,0.15,41.41,21.2,75.2,-54.0,-1.4,56.3,4.8,21.7,14.8,2.1,0.3
CA-31,district,CA,16.15,3.72,21.59,1.72,12.61,30.5,65.9,-35.4,-6.0,20.1,4.3,51.2,20.5,3.4,0.4
CA-32,district,CA,28.34,3.72,32.27,0.2,25.76,27.5,68.8,-41.3,-1.5,55.1,5.0,22.5,14.9,2.1,0.4
CA-33,district,CA,14.39,3.72,20.16,2.05,10.12,31.4,64.9,-33.5,-5.6,20.0,11.7,54.9,9.1,3.7,0.6
CA-34,district,CA,57.12,3.72,62.98,2.14,53.04,12.6,83.8,-71.2,-7.0,11.8,5.4,58.8,19.4,4.2,0.3
CA-35,district,CA,12.24,3.72,17.85,1.89,8.0,32.2,64.1,-31.9,-5.9,20.2,7.3,53.3,15.0,3.6,0.6
CA-36,district,CA,41.99,3.72,45.52,-0.19,40.42,22.0,74.3,-52.3,-0.9,57.1,4.8,15.3,20.4,1.8,0.5
CA-37,district,CA,66.13,3.72,71.75,1.9,62.31,10.1,86.3,-76.2,-4.3,14.0,25.5,48.4,8.2,3.6,0.3
CA-38,district,CA,17.13,3.72,22.72,1.87,12.8,29.6,66.8,-37.2,-6.9,14.1,1.7,54.7,26.0,3.2,0.3
CA-39,district,CA,14.09,3.72,19.92,2.11,9.85,31.5,64.9,-33.4,-5.7,21.6,10.0,56.4,7.6,3.7,0.6
CA-40,district,CA,-11.7,3.72,-7.46,0.52,-12.6,44.2,52.2,-8.0,-2.3,49.6,5.3,28.4,13.1,2.8,0.8
CA-41,district,CA,17.83,3.72,23.53,1.98,14.61,29.7,66.6,-36.9,-6.0,23.1,4.7,55.6,12.2,3.7,0.6
CA-42,district,CA,15.25,3.72,19.48,0.51,13.57,32.7,63.6,-30.9,-2.2,47.5,6.7,27.9,14.1,2.9,0.9
CA-43,district,CA,54.96,3.72,60.79,2.11,50.59,14.5,81.8,-67.3,-4.9,7.6,26.3,51.9,10.1,3.4,0.7
CA-44,district,CA,41.6,3.72,47.88,2.57,36.32,19.1,77.3,-58.2,-7.1,8.9,10.6,64.7,10.8,3.9,1.1
CA-45,district,CA,6.76,3.72,11.08,0.6,4.07,35.2,61.2,-26.0,-4.6,21.5,3.1,30.9,41.4,2.3,0.8
CA-46,district,CA,20.26,3.72,26.01,2.03,16.7,28.4,67.9,-39.5,-6.6,19.3,2.6,57.4,16.0,4.1,0.6
CA-47,district,CA,11.79,3.72,15.35,-0.17,10.47,34.4,61.9,-27.5,-1.8,48.9,2.7,16.6,29.7,1.6,0.5
CA-48,district,CA,4.15,3.72,8.73,0.86,3.52,37.1,59.3,-22.2,-2.9,46.1,5.1,35.0,9.1,3.9,0.9
CA-49,district,CA,13.11,3.72,16.84,0.01,12.48,34.2,62.2,-28.0,-1.1,59.5,3.2,19.4,14.7,2.3,0.9
CA-50,district,CA,19.36,3.72,22.94,-0.14,18.83,31.6,64.8,-33.2,-1.0,56.9,4.0,16.6,19.5,2.2,0.8
CA-51,district,CA,19.95,3.72,23.99,0.32,18.79,31.1,65.2,-34.1,-1.5,52.8,8.1,23.9,11.3,2.9,1.0
CA-52,district,CA,22.64,3.72,28.37,2.01,18.06,27.6,68.7,-41.1,-6.1,16.8,8.3,55.0,15.7,3.3,1.0
CO-01,district,CO,58.82,3.72,62.88,0.34,57.61,14.8,81.5,-66.7,-1.0,57.7,9.5,24.0,5.1,3.3,0.4
CO-02,district,CO,40.74,3.72,44.06,-0.4,40.92,23.3,73.1,-49.8,0.6,78.8,1.6,12.3,4.8,2.3,0.3
CO-03,district,CO,-9.78,3.72,-5.95,0.11,-9.98,44.1,52.2,-8.1,-0.8,69.5,1.5,22.6,1.4,4.8,0.3
CO-04,district,CO,-19.22,3.72,-15.92,-0.42,-18.71,48.8,47.5,1.3,0.6,78.3,2.5,11.8,4.5,2.7,0.3
CO-05,district,CO,-10.24,3.72,-6.69,-0.17,-9.34,44.8,51.6,-6.8,0.2,68.2,7.6,15.2,4.9,3.4,0.8
CO-06,district,CO,20.85,3.72,24.67,0.1,20.36,31.3,65.1,-33.8,-0.4,58.9,11.2,19.1,7.2,3.0,0.5
CO-07,district,CO,14.76,3.72,18.12,-0.36,15.41,34.3,62.1,-27.8,0.4,77.2,2.0,13.3,4.1,3.2,0.2
CO-08,district,CO,-0.6,3.72,3.88,0.76,-1.88,39.3,57.0,-17.7,-2.5,55.1,2.5,33.9,4.3,3.9,0.3
CT-01,district,CT,24.46,3.72,28.19,0.01,23.27,30.1,66.2,-36.1,0.4,60.2,16.7,15.3,6.2,1.5,0.1
CT-02,district,CT,8.44,3.72,11.57,-0.59,7.86,37.4,59.0,-21.6,1.3,80.5,5.1,7.7,4.4,2.1,0.2
CT-03,district,CT,15.51,3.72,19.15,-0.08,14.34,34.0,62.3,-28.3,0.6,64.1,14.8,14.2,5.3,1.5,0.1
CT-04,district,CT,25.33,3.72,29.26,0.21,23.73,29.4,66.9,-37.5,-0.3,59.4,13.4,19.8,6.1,1.2,0.1
CT-05,district,CT,6.68,3.72,10.44,0.04,5.68,37.5,58.9,-21.4,-0.0,67.4,8.8,18.0,4.2,1.5,0.1
DE-01,district,DE,15.61,3.72,19.05,-0.28,14.84,34.5,61.9,-27.4,1.5,61.9,22.6,8.6,4.8,2.0,0.1
FL-01,district,FL,-36.7,3.72,-33.53,-0.54,-37.53,56.7,39.6,17.1,1.6,72.0,13.5,6.7,4.2,3.2,0.4
FL-02,district,FL,-16.49,3.72,-13.16,-0.4,-18.33,48.3,48.0,0.3,1.9,65.3,23.0,6.4,2.8,2.3,0.2
FL-03,district,FL,-19.45,3.72,-16.0,-0.27,-21.26,49.2,47.2,2.0,1.2,67.6,15.8,10.6,3.9,1.9,0.2
FL-04,district,FL,-10.78,3.72,-7.26,-0.19,-11.96,45.9,50.5,-4.6,1.9,54.9,31.4,7.8,3.6,2.1,0.3
FL-05,district,FL,-20.63,3.72,-17.21,-0.3,-21.69,49.5,46.8,2.7,0.8,67.3,12.8,10.8,7.0,1.8,0.3
