race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.1,31.6,68.5,Lean R,-13.18,5.35,-8.89,0.0,0.0,-1.06,-13.8,5.7,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,45.22,53.18,1.6,106911,125752,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.5,2.4,97.6,Safe R,-29.63,5.35,-21.39,0.0,3.37,-0.48,-30.88,10.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.75,60.25,0.0,630232,955331,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.78,0.6,99.4,Safe R,-30.5,5.35,-25.78,0.0,-0.13,-0.51,-31.57,5.78,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,37.11,62.89,0.0,311505,527952,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.26,75.8,24.2,Likely D,-4.25,5.35,7.47,0.0,6.01,0.36,-5.59,12.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,0,0,0,53.63,46.37,0.0,1272340,1100184,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.36,99.7,0.3,Safe D,23.32,5.35,29.56,0.0,0.0,0.89,20.82,7.55,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.72,32.15,2,21.57,0.15,0,0,0,64.18,35.82,0.0,7123223,3975320,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,21.07,97.9,2.1,Safe D,11.58,5.35,22.62,0.0,5.7,-0.01,11.29,9.78,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.54,39.46,0.0,1352961,881960,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,20.11,97.4,2.6,Safe D,15.88,5.35,20.11,0.0,-1.03,-0.09,14.76,5.35,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,60.06,39.94,0.0,739382,491757,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-4.78,32.3,67.7,Lean R,-10.56,5.35,-5.17,0.0,-0.47,0.51,-13.22,8.44,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.78,41.34,14,-3.73,0.272,0,0,0,47.61,52.39,0.0,3644511,4010315,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,4.62,67.2,32.8,Lean D,-1.71,5.35,3.52,0.0,0.0,-0.12,-2.21,6.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.49,39.89,2,10.87,0.15,0,0,0,52.31,47.69,0.0,1922427,1752619,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.28,99.9,0.1,Safe D,25.73,5.35,32.28,0.0,1.67,-0.46,23.56,8.72,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,66.14,33.86,0.0,239231,122460,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.79,64.3,35.7,Lean D,-12.1,5.35,3.4,0.0,10.86,-0.71,-13.45,17.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,41.0,1,6.0,0.15,0,0,0,51.9,48.1,0.0,604306,560148,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-43.78,0.0,100.0,Safe R,-36.28,5.35,-43.78,0.0,-12.37,-0.49,-37.52,-6.26,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,28.11,71.89,0.0,178081,455462,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,18.55,96.3,3.7,Safe D,12.91,5.35,18.24,0.0,-0.02,0.0,11.14,7.42,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,0,0,0,59.28,40.72,0.0,2344184,1610552,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-11.34,13.7,86.3,Likely R,-16.26,5.35,-11.34,0.0,0.0,-0.43,-16.41,5.07,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,44.33,55.67,0.0,411942,517372,0,0,929314
