code,level,state,partisan_lean,gcb,environment,demo_env_adj,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.69,-10.55,-1.06,-13.8,46.2,50.3,-4.1,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.69,-31.69,-0.56,-36.34,56.4,40.2,16.2,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.69,-9.62,-0.28,-14.46,47.2,49.3,-2.1,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.69,-42.5,-0.61,-47.04,60.9,35.6,25.3,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.69,-62.75,-0.67,-66.99,69.2,27.4,41.8,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.69,-26.11,-0.56,-29.51,53.7,42.8,11.0,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.69,-31.61,-0.54,-34.79,56.2,40.3,15.8,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.69,22.93,-0.12,17.99,33.6,62.9,-29.3,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.69,-41.64,-0.68,-46.4,60.5,36.0,24.5,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.69,-12.25,-0.52,-16.22,47.9,48.6,-0.7,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.69,-22.24,-0.34,-25.81,51.3,45.2,6.1,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.69,-35.82,-0.49,-40.73,57.9,38.6,19.3,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.69,1.17,-0.3,-3.14,41.4,55.1,-13.7,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.69,-10.42,-0.67,-15.12,45.9,50.6,-4.7,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.69,49.05,2.1,40.31,19.2,77.3,-58.1,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.69,11.25,0.21,6.76,36.7,59.9,-23.2,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.69,-16.05,-0.2,-20.19,48.6,47.9,0.7,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.69,3.18,0.11,-0.76,40.3,56.3,-16.0,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.69,30.86,1.86,22.39,26.9,69.6,-42.6,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.69,-12.36,-0.05,-16.48,47.0,49.5,-2.5,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.69,-26.17,0.35,-31.34,52.6,44.0,8.6,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.69,17.77,0.11,12.63,33.9,62.7,-28.8,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.69,29.69,-0.42,25.45,29.2,67.3,-38.1,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.69,14.96,-0.13,10.55,35.2,61.3,-26.1,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.69,20.85,0.39,14.96,32.2,64.3,-32.2,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.69,-15.78,0.28,-21.2,48.0,48.6,-0.6,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.69,13.58,0.06,8.67,35.6,60.9,-25.3,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.69,18.94,0.13,13.26,33.1,63.5,-30.4,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
