race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-9.34,29.4,70.5,Lean R,-13.18,4.37,-13.8,4.45,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.6,53.8,1.6,105462,127201,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.34,2.0,98.0,Safe R,-29.63,4.37,-30.88,9.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.33,60.67,0.0,623628,961935,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.76,0.5,99.5,Safe R,-30.5,4.37,-31.57,4.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.62,63.38,0.0,307392,532065,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.49,76.4,23.6,Likely D,-4.25,4.37,-5.59,13.08,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.18,36.48,10,10.51,0.25,0,0,0,53.75,46.25,0.0,1275133,1097391,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.58,99.7,0.3,Safe D,23.32,4.37,20.82,7.77,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,64.29,35.71,0.0,7135365,3963178,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.24,97.4,2.6,Safe D,11.58,4.37,11.29,8.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.12,39.88,0.0,1343653,891269,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.13,96.7,3.3,Safe D,15.88,4.37,14.76,4.37,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.57,40.43,0.0,733350,497790,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.65,29.4,70.6,Lean R,-10.56,4.37,-13.22,7.57,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.52,43.95,11,-4.2,0.257,0,0,0,47.17,52.83,0.0,3611155,4043671,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,3.51,63.2,36.8,Lean D,-1.71,4.37,-2.21,5.72,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.0,43.0,1,9.0,0.15,0,0,0,51.75,48.25,0.0,1901967,1773080,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.3,99.9,0.1,Safe D,25.73,4.37,23.56,7.74,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.65,34.35,0.0,237459,124232,0,0,361691
