race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Bernadette Wilson,DEM,REP,,REP,-5.6,35.8,64.2,Lean R,-13.27,5.38,-8.95,0.0,0.0,-1.06,-13.8,8.19,True,False,,,0.0,0.0,,,0.0,presumptive,projected,46.99,37.94,3,8.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,48.94,8.0,101814,115717,18916,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.38,2.9,97.1,Safe R,-29.66,5.38,-21.39,0.0,3.37,-0.48,-30.88,11.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.31,59.69,0.0,639124,946439,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-20.73,2.2,97.8,Safe R,-30.62,5.38,-25.87,0.0,-0.13,-0.51,-31.57,10.84,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.0,45.0,1,-5.0,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.64,60.36,0.0,332738,506719,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.74,77.5,22.5,Likely D,-4.25,5.38,8.44,0.94,6.01,0.36,-5.59,13.32,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,47.77,42.01,14,5.86,0.272,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.87,46.13,0.0,1278024,1094499,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,27.98,99.7,0.3,Safe D,23.42,5.38,29.94,0.25,0.0,0.89,20.82,7.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,56.04,35.51,5,20.53,0.208,24217949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.99,36.01,0.0,7101855,3996688,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.88,95.9,4.1,Safe D,11.48,5.38,17.48,0.64,0.0,-0.01,11.29,6.58,False,False,IND,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.82,39.58,0.0,1269807,884657,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.77,97.3,2.7,Safe D,15.88,5.38,20.15,0.0,-1.03,-0.09,14.76,5.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.61,31.46,2,18.15,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.88,40.12,0.0,737262,493877,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.37,26.7,73.3,Lean R,-10.43,5.38,-7.17,-2.16,-0.47,0.51,-13.22,6.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.39,43.16,18,-4.38,0.286,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.82,53.18,0.0,3583698,4071128,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,2.01,57.8,42.2,Toss-up,-1.84,5.38,1.16,-2.26,0.0,-0.12,-2.21,4.22,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,45.89,8,4.51,0.254,5774631,118984243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.01,48.99,0.0,1874471,1800575,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.31,99.9,0.1,Safe D,25.72,5.38,32.31,0.0,1.67,-0.46,23.56,8.75,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.15,33.85,0.0,239275,122416,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.46,70.3,29.7,Lean D,-12.13,5.38,5.46,2.06,10.86,-0.71,-13.45,18.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.43,44.02,5,5.45,0.206,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.73,47.27,0.0,614012,550442,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-41.43,0.0,100.0,Safe R,-36.27,5.38,-45.57,-1.82,-12.37,-0.49,-37.52,-3.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,29.67,51.0,1,-24.33,0.195,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.29,70.71,0.0,185537,448006,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.14,97.5,2.5,Safe D,12.91,5.38,20.11,1.84,-0.02,0.0,11.14,9.0,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.07,39.93,0.0,2375525,1579212,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-11.47,13.1,86.9,Likely R,-16.42,5.38,-11.47,0.0,0.0,-0.43,-16.41,4.94,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.26,55.74,0.0,411344,517969,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.94,99.9,0.1,Safe D,27.8,5.38,33.96,0.0,1.13,-0.34,25.91,5.03,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,53.13,32.73,7,20.41,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.47,34.53,0.0,1591996,839572,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.67,100.0,0.0,Safe D,30.37,5.38,39.1,0.0,3.43,-0.08,29.51,7.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,57.82,30.93,2,23.95,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.34,31.66,0.0,1453405,673429,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.63,87.2,12.8,Likely D,7.36,5.38,11.77,0.0,0.0,-0.97,7.09,4.54,False,False,IND,Rick Bennett,5.69,0.0,,,0.0,confirmed,confirmed,50.81,38.39,4,12.42,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.64,41.67,0.0,306345,242504,0,33114,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.44,88.8,11.2,Likely D,-0.43,5.38,14.51,0.21,9.97,-0.63,-1.44,13.88,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.53,42.49,22,7.54,0.296,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.22,43.78,0.0,2228758,1735504,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,10.75,85.3,14.7,Likely D,4.83,5.38,10.94,1.57,-0.12,-0.72,4.34,6.41,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,48.65,38.98,3,9.67,0.15,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.38,44.62,0.0,1261314,1016430,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-13.67,9.1,90.9,Likely R,-20.91,5.38,-19.26,0.0,-3.25,-0.48,-20.84,7.17,False,False,IND,Brett Lindstrom,12.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.99,50.01,0.0,251845,331605,0,79561,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.71,12.7,87.3,Likely R,3.63,5.38,-12.95,-1.31,-19.79,-0.86,2.82,-14.53,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,38.17,44.73,5,-6.56,0.194,606192,3694856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.15,55.85,0.0,255318,323015,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,8.64,80.1,19.9,Likely D,7.41,5.38,9.47,1.95,-6.39,1.12,6.14,2.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.0,45.0,1,4.0,0.151,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.32,45.68,0.0,351125,295252,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.91,61.2,38.8,Lean D,-1.57,5.38,5.53,0.47,0.85,0.4,-3.15,6.06,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.14,49.05,10,-4.94,0.25,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.45,48.55,0.0,534651,504416,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.4,90.4,9.6,Likely D,15.56,5.38,13.73,0.16,-7.5,0.13,12.68,0.71,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.35,37.41,16,12.55,0.28,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,43.3,0.0,3296154,2517344,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.59,32.7,67.3,Lean R,-10.38,5.38,-6.17,-0.48,0.0,-0.69,-11.31,6.72,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.69,48.29,19,-0.71,0.289,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7,52.3,0.0,1925132,2110380,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-30.88,0.1,99.9,Safe R,-34.86,5.38,-30.88,0.0,-0.7,-0.7,-34.95,4.07,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,65.44,0.0,378851,717372,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.78,71.4,28.6,Lean D,15.18,5.38,6.81,0.0,-13.29,-0.46,14.89,-9.12,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.2,47.13,3,-0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.89,47.11,0.0,831283,740491,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.34,95.5,4.5,Safe D,-0.99,5.38,17.43,1.95,11.61,-0.53,-1.75,19.09,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.77,35.68,11,17.09,0.257,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.67,41.33,0.0,2888691,2034927,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.4,97.7,2.3,Safe D,15.75,5.38,20.93,0.0,0.0,-0.2,14.16,6.24,False,False,,,0.0,0.0,,,0.0,presumptive,projected,38.59,21.21,2,17.38,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.2,39.8,0.0,216324,143023,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.22,15.9,84.1,Likely R,-16.61,5.38,-10.07,1.47,0.07,-0.39,-18.12,7.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.0,45.0,1,-11.0,0.156,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.89,55.11,0.0,800712,982986,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.69,0.6,99.4,Safe R,-29.41,5.38,-25.69,0.0,-0.64,-1.02,-29.98,4.29,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16,62.84,0.0,110900,187573,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-20.62,2.2,97.8,Safe R,-28.6,5.38,-20.03,0.0,3.73,-0.54,-30.12,9.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.01,51.0,3,-23.99,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.69,60.31,0.0,851245,1293514,0,0,2144759
