race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.8,31.1,68.9,Lean R,-13.18,4.78,-9.46,0.0,0.0,-1.06,-13.8,5.0,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.87,53.53,1.6,106096,126567,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.99,2.2,97.8,Safe R,-29.63,4.78,-21.96,0.0,3.37,-0.48,-30.88,9.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.51,60.49,0.0,626391,959172,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.35,0.6,99.4,Safe R,-30.5,4.78,-26.35,0.0,-0.13,-0.51,-31.57,5.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.82,63.18,0.0,309113,530344,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,6.83,74.4,25.6,Lean D,-4.25,4.78,6.9,0.0,6.01,0.36,-5.59,12.42,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,0,0,0,53.42,46.58,0.0,1267314,1105210,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.99,99.7,0.3,Safe D,23.32,4.78,28.99,0.0,0.0,0.89,20.82,8.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,64.5,35.5,0.0,7158117,3940426,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,20.59,97.6,2.4,Safe D,11.58,4.78,22.05,0.0,5.7,-0.01,11.29,9.3,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.3,39.7,0.0,1347547,887374,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.54,97.0,3.0,Safe D,15.88,4.78,19.54,0.0,-1.03,-0.09,14.76,4.78,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.77,40.23,0.0,735874,495266,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-5.07,31.3,68.7,Lean R,-10.56,4.78,-5.74,0.0,-0.47,0.51,-13.22,8.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.77,43.75,13,-3.22,0.268,0,0,0,47.47,52.53,0.0,3633506,4021320,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,3.86,64.5,35.5,Lean D,-1.71,4.78,2.95,0.0,0.0,-0.12,-2.21,6.06,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.0,43.0,1,9.0,0.15,0,0,0,51.93,48.07,0.0,1908370,1766676,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.71,99.9,0.1,Safe D,25.73,4.78,31.71,0.0,1.67,-0.46,23.56,8.15,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.86,34.14,0.0,238200,123490,0,0,361691
