code,level,state,partisan_lean,gcb,environment,pres_2024_margin,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hispanic_pct,asian_pct,native_pct,pacific_pct
AK-01,district,AK,-13.18,3.25,-9.93,-13.8,47.1,49.6,-2.5,0.5,61.0,4.2,6.0,7.8,18.9,2.0
AL-01,district,AL,-34.82,3.25,-31.57,-36.34,57.2,39.4,17.8,2.5,67.1,24.7,3.3,1.9,2.9,0.1
AL-02,district,AL,-13.03,3.25,-9.78,-14.46,48.1,48.5,-0.4,2.7,52.3,39.8,3.7,2.2,1.9,0.2
AL-03,district,AL,-45.58,3.25,-42.33,-47.04,61.8,34.9,26.9,2.4,71.7,20.7,3.1,2.1,2.3,0.1
AL-04,district,AL,-65.77,3.25,-62.52,-66.99,70.1,26.6,43.5,1.8,82.7,7.2,6.1,0.8,3.1,0.1
AL-05,district,AL,-29.24,3.25,-25.99,-29.51,54.6,42.0,12.6,2.0,70.1,18.3,5.3,2.5,3.6,0.2
AL-06,district,AL,-34.75,3.25,-31.5,-34.79,57.1,39.6,17.5,2.2,71.7,19.3,4.7,2.2,2.1,0.1
AL-07,district,AL,19.36,3.25,22.61,17.99,34.5,62.2,-27.7,3.0,42.5,50.5,3.6,1.7,1.6,0.1
AR-01,district,AR,-44.65,3.25,-41.4,-46.4,61.4,35.3,26.1,2.4,76.0,16.9,3.1,1.0,2.8,0.2
AR-02,district,AR,-15.42,3.25,-12.17,-16.22,48.8,47.8,1.0,2.1,69.1,20.3,5.1,2.3,3.0,0.1
AR-03,district,AR,-25.59,3.25,-22.34,-25.81,52.2,44.4,7.8,0.2,71.5,3.6,13.9,4.2,5.6,1.3
AR-04,district,AR,-39.02,3.25,-35.77,-40.73,58.8,37.8,21.0,2.0,69.7,19.8,6.0,1.1,3.3,0.2
AZ-01,district,AZ,-2.22,3.25,1.03,-3.14,42.3,54.3,-12.0,0.3,73.4,4.0,13.8,5.5,3.1,0.3
AZ-02,district,AZ,-13.44,3.25,-10.19,-15.12,46.8,49.9,-3.1,-0.3,59.7,2.7,14.6,2.0,20.7,0.3
AZ-03,district,AZ,43.26,3.25,46.51,40.31,20.1,76.6,-56.4,-5.5,23.0,11.5,56.4,3.7,5.0,0.4
AZ-04,district,AZ,7.35,3.25,10.6,6.76,37.6,59.1,-21.6,-1.1,58.6,6.5,22.8,7.2,4.3,0.6
AZ-05,district,AZ,-19.54,3.25,-16.29,-20.19,49.5,47.1,2.4,0.0,70.0,4.5,15.3,7.2,2.5,0.5
AZ-06,district,AZ,-0.62,3.25,2.63,-0.76,41.2,55.5,-14.3,-0.6,66.6,4.3,21.1,4.3,3.2,0.5
AZ-07,district,AZ,25.31,3.25,28.56,22.39,27.8,68.8,-41.0,-5.2,32.1,4.8,54.1,2.9,5.7,0.4
AZ-08,district,AZ,-16.0,3.25,-12.75,-16.48,47.9,48.8,-0.9,-0.2,68.2,5.3,18.0,5.3,2.9,0.4
AZ-09,district,AZ,-30.21,3.25,-26.96,-31.34,53.5,43.2,10.3,-1.2,61.6,5.2,25.5,3.4,3.7,0.5
CA-01,district,CA,13.97,3.25,17.22,12.63,34.8,61.9,-27.1,-1.0,63.8,2.5,22.6,4.8,5.5,0.7
CA-02,district,CA,26.43,3.25,29.68,25.45,30.1,66.5,-36.4,0.3,72.6,2.5,13.0,5.5,5.8,0.6
CA-03,district,CA,11.4,3.25,14.65,10.55,36.1,60.5,-24.4,-0.5,60.3,6.6,16.3,12.4,3.4,1.1
CA-04,district,CA,16.77,3.25,20.02,14.96,33.1,63.6,-30.5,-2.0,53.7,3.1,27.0,11.4,4.0,0.7
CA-05,district,CA,-19.75,3.25,-16.5,-21.2,48.9,47.8,1.0,-1.5,58.5,3.2,25.1,7.6,4.7,0.9
CA-06,district,CA,9.83,3.25,13.08,8.67,36.5,60.1,-23.6,-1.1,53.3,8.2,19.4,14.1,3.6,1.4
CA-07,district,CA,15.12,3.25,18.37,13.26,33.9,62.7,-28.8,-1.7,42.8,9.9,20.2,21.9,3.3,1.9
CA-08,district,CA,37.61,3.25,40.86,35.19,24.0,72.6,-48.6,-2.4,32.4,15.1,27.1,20.5,3.4,1.4
CA-09,district,CA,15.48,3.25,18.73,11.8,32.9,63.7,-30.8,-3.4,28.0,12.6,33.1,21.2,3.6,1.5
CA-10,district,CA,36.05,3.25,39.3,34.75,25.2,71.4,-46.2,-1.4,52.0,5.0,17.7,22.1,2.3,0.9
CA-11,district,CA,72.6,3.25,75.85,70.62,9.6,87.0,-77.4,-1.5,44.1,6.5,13.0,33.8,1.9,0.7
CA-12,district,CA,79.37,3.25,82.62,77.64,6.6,90.0,-83.4,-1.7,34.2,17.5,20.6,23.9,3.0,0.9
