race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-9.4,30.5,69.5,Lean R,-13.18,3.81,-13.8,4.39,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,44.57,53.83,1.6,105392,127271,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.81,1.8,98.2,Safe R,-29.63,3.81,-30.88,9.07,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.09,60.91,0.0,619854,965709,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-27.32,0.4,99.6,Safe R,-30.5,3.81,-31.57,4.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,36.34,63.66,0.0,305041,534415,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,5.95,71.6,28.4,Lean D,-4.25,3.81,-5.59,11.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.26,37.22,9,6.04,0.242,0,0,0,52.98,47.02,0.0,1256883,1115640,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.02,99.6,0.4,Safe D,23.32,3.81,20.82,7.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,64.01,35.99,0.0,7104289,3994254,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,19.77,97.1,2.9,Safe D,11.58,3.81,11.29,8.47,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,59.88,40.12,0.0,1338334,896588,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.57,96.3,3.7,Safe D,15.88,3.81,14.76,3.81,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,59.29,40.71,0.0,729903,501237,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.07,28.0,72.0,Lean R,-10.56,3.81,-13.22,7.16,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.52,43.95,11,-4.2,0.257,0,0,0,46.97,53.03,0.0,3595222,4059604,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,3.03,61.4,38.6,Lean D,-1.71,3.81,-2.21,5.24,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.0,43.0,1,9.0,0.15,0,0,0,51.52,48.48,0.0,1893220,1781826,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,30.74,99.8,0.2,Safe D,25.73,3.81,23.56,7.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,65.37,34.63,0.0,236446,125245,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,1.86,57.1,42.9,Toss-up,-12.1,3.81,-13.45,15.31,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,50.93,49.07,0.0,593072,571383,0,0,1164454
