race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-2.4,43.6,56.4,Toss-up,-12.11,3.65,-5.19,0.21,4.11,-1.06,-13.8,11.39,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,51.01,47.09,8,3.66,0.233,8661662,6500847,0,48.02,50.38,1.6,113537,119126,3783,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-25.7,0.7,99.3,Safe R,-27.4,3.65,-25.7,-2.4,0.93,-0.48,-30.88,5.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,73770,2980325,0,37.15,62.85,0.0,589041,996522,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-27.42,0.4,99.6,Safe R,-29.48,3.65,-28.91,-0.9,-1.67,-0.51,-31.57,4.15,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,36.0,58.0,1,-19.0,0.15,1589764,5406040,0,36.29,63.71,0.0,304639,534817,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.18,99.0,1.0,Safe D,13.67,3.65,24.18,3.32,3.55,-0.01,11.29,12.89,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,,,0,,0.0,6818283,31866,0,62.09,37.91,0.0,1387703,847218,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,23.48,98.8,1.2,Safe D,15.61,3.65,23.48,2.84,1.67,-0.28,14.84,8.64,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,3044649,20211,0,61.74,38.26,0.0,220753,136789,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-6.45,26.8,73.2,Lean R,-8.83,3.65,-6.36,-0.02,-1.67,0.51,-13.22,6.77,False,False,,,0.0,0.0,,,0.0,projected,confirmed,38.0,45.0,1,-7.0,0.15,8188392,8407064,0,46.77,53.23,0.0,3580375,4074451,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,9.96,83.0,17.0,Likely D,-0.7,3.65,11.43,1.88,6.73,-0.12,-2.21,12.16,False,False,,,0.0,0.0,,,0.0,confirmed,projected,47.69,43.3,6,4.4,0.21,60439613,4880582,0,54.98,45.02,0.0,2020456,1654590,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-3.14,38.2,61.8,Lean R,-8.31,3.65,-3.11,3.19,-0.93,-0.71,-13.45,10.3,False,False,LIB,,0.0,0.0,,,0.0,presumptive,presumptive,42.64,46.46,2,-6.82,0.15,3463099,0,0,47.15,50.22,2.63,549091,584738,30625,0,1164454
ID-SEN,senate,ID,SEN,David Roth,Jim Risch,DEM,REP,REP,REP,-41.01,0.0,100.0,Safe R,-38.27,3.65,-41.01,-2.93,-2.97,-0.49,-37.52,-3.48,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,,,0,,0.0,8642,2864280,0,29.5,70.5,0.0,186868,446675,0,0,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,18.59,96.2,3.8,Safe D,14.4,3.65,18.59,0.53,0.0,0.0,11.14,7.45,False,False,,,0.0,0.0,,,0.0,presumptive,projected,,,0,,0.0,4791273,2327334,0,59.29,40.71,0.0,2344920,1609817,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-15.18,7.3,92.7,Likely R,-15.42,3.65,-16.45,-3.16,-1.09,-0.43,-16.41,1.23,False,False,,,0.0,0.0,,,0.0,projected,confirmed,46.0,54.0,1,-8.0,0.15,0,3331963,0,42.41,57.59,0.0,394111,535202,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-31.25,0.1,99.9,Safe R,-30.03,3.65,-34.02,-2.04,-4.86,-0.75,-31.03,-0.22,False,False,,,0.0,0.0,,,0.0,presumptive,projected,37.0,49.5,1,-15.5,0.15,508684,8403849,0,34.38,65.62,0.0,499219,952950,0,0,1452169
LA-SEN,senate,LA,SEN,Gary Crockett,Julia Letlow,DEM,REP,,REP,-27.01,0.5,99.5,Safe R,-21.33,3.65,-27.01,-1.95,-7.1,-0.28,-22.36,-4.65,False,False,,,0.0,0.0,,,0.0,projected,projected,,,0,,0.0,350000,5356520,0,36.49,63.51,0.0,512698,892185,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,33.63,99.9,0.1,Safe D,29.1,3.65,34.81,0.73,1.67,-0.34,25.91,7.71,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,55.41,27.95,4,28.06,0.175,3804689,1400141,0,66.81,33.19,0.0,1624599,806969,0,0,2431568
